a	cmavo			   	A      	логический союз: последующая мысль в sumti: 'или'
ta'i	cmavo			   	BAI      	модальный предлог от tadji, 1-ое место (метод)              методически; с помощью метода/методом ...; тж. при ответе на вопрос, "Как?"
tai'i	experimental cmavo			   	COI2      	преобразует следующую cmevla или zoi-цитату в феномим (фразу, которая имитирует определённую физическую форму или движение).	Идеофон. Более широкий термин по сравнению с {ci'oi} и {sa'ei}. См. также {tai}, {tamsmi}, {ki'ai}. Примеры в некоторых языках. jpn: しーん (shiin): беззвучно. kor: 슬슬 (seul-seul): мягко, нежно. nep: हत्तपत्त (hattapatta): немедленно.
ta'i ma	cmavo-compound			   	BAI*      	sumti-вопрос насчёт метода; как/каким образом?
ta'o	cmavo			   	UI3      	междометие-рассуждение: кстати/к слову сказать/между прочим - возвращаясь к основной теме...
ta'onai	cmavo-compound			   	UI*3      	междометие-рассуждение: кстати/к слову сказать/между прочим - возвращаясь к основной теме...
tau	cmavo			   	LAU      	2-словный буквенный символ/сдвиг: меняет регистр только одного следующего буквенного символа
ta'u	cmavo			   	UI3a      	междометие-рассуждение: получается при раскрытии tanru - образуя такую tanru	См. также {tanru}.
ta'unai	cmavo-compound			   	UI*3a      	междометие-рассуждение: получается при раскрытии tanru - образуя такую tanru	См. также {tanru}.
te	cmavo   	-ter-		   	SE      	3-ая конверсия; меняет местами 1/3-ье места; образует новое selbri из исходного с перестановкой x_1 и x_3        Так, если {xatra} означает "письмо (автора)", то {te xatra} означает "быть автором письма". См. также {se}, {ve}, {xe}
te'a	cmavo			   	VUhU2      	бинарный математический оператор: в степени; показательная функция/экспоненциал; [a в степени b]
te'ai	experimental cmavo			   	XI      	возведение в степень selbri как единиц измерения	Вместе с {pi'ai} это слово может использоваться для построения selbri для единиц измерения; см. примечание к слову {pi'ai} для простейшего примера. Полным примером могут быть единицы измерения ускорения, pi'ai mitre snidu te'ai ni'u re [ke'e].
tebau	cmavo-compound			   	BAI*      	модальный предлог от bangu, 3-е место (выражаемое)               на языке, выражающем ...
tebe'i	cmavo-compound			   	BAI*      	модальный предлог от benji, 3-е место (получатель)                   отсылаемое к получателю ...
teca'i	cmavo-compound			   	BAI*      	модальный предлог от catni, 3-е место                            авторитетно/влиятельно/властно; основанием для власти/авторитета которого является ...
teci'e	cmavo-compound			   	BAI*      	модальный предлог от ciste, 3-е место                            являющееся системой с компонентами ...
teci'o	cmavo-compound			   	BAI*      	модальный предлог от cinmo, 3-е место (то, к чему есть отношение, позиция, испытывается внутреннее состояние)           причастно/эмоционально; испытывая внутреннее состояние по отношению к ...
tecu'u	cmavo-compound			   	BAI*      	модальный предлог от cusku, 3-е место (кому говорится)        как говорится  ...(кому)
tede'i	cmavo-compound			   	BAI*      	модальный предлог от detri, 3-е место                            являющееся датой события, приисходящего в ... (месте)
tedi'o	cmavo-compound			   	BAI*      	модальный предлог от diklo, 3-е место                            локально; в определённом месте, имеющем пределы ...
tedu'i	cmavo-compound			   	BAI*      	модальный предлог от dunli, 3-е место                            равно, в равной степени; равным образом в аспекте/качестве ...
tedu'o	cmavo-compound			   	BAI*      	модальный предлог от djuno, 3-е место                            зная; зная о ...
te'e	cmavo			   	FAhA3      	отношение/направление интервала местоположения; имея границу с.../гранича с.../окаймляя ...
tefi'e	cmavo-compound			   	BAI*      	модальный предлог от finti, 3-е место                            творчески; придуманное/изобретаемое для ...(цели/замысла)
tega'a	cmavo-compound			   	BAI*      	модальный предлог от zgana, 3-е место                            наблюдая с помощью ...
tei	cmavo			   	TEI      	далее следует составной буквенный символ; используется для буквенных символов из нескольких знаков
teja'i	cmavo-compound			   	BAI*      	модальный предлог от javni, 3-е место                            правильно, дисциплинированно; согласно правилу в системе/регламенте ...
teji'e	cmavo-compound			   	BAI*      	модальный предлог от jimte, 3-е место                            ограниченно; ограниченно в аспекте/отношении/области ...
teji'o	cmavo-compound			   	BAI*      	модальный предлог от jitro, 3-е место                            контролируемо; контролируя в деятельности/событии ...
teka'a	cmavo-compound			   	BAI*      	модальный предлог от klama, 3-е место                            двигаясь от ...
teka'i	cmavo-compound			   	BAI*      	модальный предлог от krati, 2-е место                            представительно/представляя; будучи уполномоченным/являясь представителем по вопросу ...
teki'i	cmavo-compound			   	BAI*      	модальный предлог от ckini, 3-е место                            находясь в отношении/связи ...(какой)
tekoi	cmavo-compound			   	BAI*      	модальный предлог от korbi, 3-е место (окаймляемое)                 окаймляя/гранича с/прилегая к ...
tela'u	cmavo-compound			   	BAI*      	модальный предлог от klani, 3-е место                            являющееся количеством, измеряемым по шкале ...
tele'a	cmavo-compound			   	BAI*      	модальный предлог от klesi, 3-е место (свойство)                 категоризуемое по свойству/являющееся категорией со свойством ...
teli'e	cmavo-compound			   	BAI*      	модальный предлог от lidne, 3-е место                            предшествующий в последовательности ...; не-временн`ая последовательность
tema'e	cmavo-compound			   	BAI*      	модальный предлог от marji, 3-е место                            имеющий материальную форму ...(какую)
tema'i	cmavo-compound			   	BAI*      	модальный предлог от manri, 3-е место (правила системы отсчёта)             будучи системой отсчёта для наблюдения/измерения по правилам ...(каким)
temau	cmavo-compound			   	BAI*      	модальный предлог от zmadu, 3-е место (относительное!)                больший/превышая в аспекте/свойстве ...
teme'a	cmavo-compound			   	BAI*      	модальный предлог от mleca, 3-е место (относительное!)                меньший/уступая в аспекте/свойстве ...
teme'e	cmavo-compound			   	BAI*      	модальный предлог от cmene, 3-е место                            как имя, используемое ...(кем)
temu'i	cmavo-compound			   	BAI*      	модальный предлог от mukti, 3-е место                            будучи мотивом для ...(кого)
temu'u	cmavo-compound			   	BAI*      	модальный предлог от mupli, 3-е место                            как пример из множества ...
teni'i	cmavo-compound			   	BAI*      	модальный предлог от nibli, 3-е место                            влекущий за собой согласно правилам/логической системе, ...
te'o	cmavo			   	PA5      	цифра/число: экспоненциальное e, основание натурального логарифма (приблизительно 2.71828...)
tepa'a	cmavo-compound			   	BAI*      	модальный предлог от panra, 3-е место (аспект)                 контрастируя; контрастируя только в аспекте ...
tepi'o	cmavo-compound			   	BAI*      	модальный предлог от pilno, 3-е место (цель использования)             используя инструмент для цели/с целью ...
tepo'i	cmavo-compound			   	BAI*      	модальный предлог от porsi, 3-е место                            последовательно; будучи последовательностью множества элементов ...
tepu'a	cmavo-compound			   	BAI*      	модальный предлог от pluka, 3-е место                           приятно; приятно ...(кому); будучи приятным в условиях ...
tepu'e	cmavo-compound			   	BAI*      	модальный предлог от pruce, 3-е место (продукт)                  давая продукт ...
terai	cmavo-compound			   	BAI*      	модальный предлог от traji, 3-е место (предел)              -ший; в высшей степени, предельно; имея высшим пределом ...
teri'a	cmavo-compound			   	BAI*      	модальный предлог от rinka, 3-е место (физически/ментально)             причинно в условиях ...
tesau	cmavo-compound			   	BAI*      	модальный предлог от sarcu, 3-е место (условия для 2)             необходимо; необходимо при/в условиях ...
tesi'u	cmavo-compound			   	BAI*      	модальный предлог от sidju, 3-е место                            помогая в ...(деятельности/поддержании/достижении чего-либо)
tetai	cmavo-compound			   	BAI*      	модальный предлог от tamsmi, 3-е место                           (подобно/как)/на манер/напоминая идеальную форму ...(какую)	(x_1 имеет форму/похож на x_2 разделяя идеальную форму x_3 в аспекте x_4)
teta'i	cmavo-compound			   	BAI*      	модальный предлог от tadji, 3-е место                       будучи методом в условиях ...
teti'i	cmavo-compound			   	BAI*      	модальный предлог от stidi, 3-е место                            подсказывая/давая советы ...(кому)
teti'u	cmavo-compound			   	BAI*      	модальный предлог от tcika, 3-е место (для символов)              являясь временем (часы/минуты/секунды) события в день ...(какой)
te'u	cmavo			   	TEhU      	опускаемый терминатор: окончание преобразования между не-mex и mex (то есть математическими) выражениями; обычно опускаемо
teva'u	cmavo-compound			   	BAI*      	модальный предлог от xamgu, 3-е место                            хорошо/благотворно согласно стандарту ...
tezu'e	cmavo-compound			   	BAI*      	модальный предлог от zukte, 3-е место                            целенаправленно, умышленно, намеренно; (как действие) с целью ...(какой)
ti	cmavo   	-tif-		   	KOhA6      	pro-sumti: это непосредственно здесь; указательное местоимение; обозначает вещь/место около говорящего
ti'a	cmavo			   	FAhA2      	отношение/направление интервала местоположения; сзади/в тылу от ...
ti'e	cmavo			   	UI2      	междометие-свидетельство: говорят.../по слухам/молва говорит	См. также {tirna}, {sitna}, {tcidu}.
ti'i	cmavo			   	BAI      	модальный предлог от stidi, 1-ое место                            предлагаемое/намекаемое/подсказываемое ...(кем)
ti'o	cmavo			   	SEI      	старшинство операторов математических (mex) выражений (междометие-рассуждение)
ti'u	cmavo			   	BAI      	модальный предлог от tcika, 1-ое место (для символов)              происходящее во время ...(часы, минуты, секунды); присоединяется штамп времени
to	cmavo			   	TO      	начало вводного/пояснительного предложения (вставки в текст, в русском тексте часто отделяется круглыми скобками); вставляться должен  должен грамматически корректный ложбанский текст
to'a	cmavo			   	BY1      	сдвиг буквенных символов в нижний регистр
to'e	cmavo   	-tol-   	-to'e-	   	NAhE      	скалярный инвертор, дающий полярную оппозицию
toi	cmavo			   	TOI      	опускаемый терминатор: окончание вводного/пояснительного предложения (вставки в текст, в русском тексте часто отделяется круглыми скобками); редко опускаемо в конце текста
to'i	cmavo			   	TO      	открывает внутри цитаты редакторскую вставку/комментарий, не являющуюся частью цитаты; содержит грамматически корректный текст
to'o	cmavo			   	FAhA4      	отношение/направление интервала местоположения; от/прочь от...
to'u	cmavo			   	UI3      	междометие-рассуждение: вкратце - детально/подробно	См. также {tordu}, {clani}, {tcidu}.
to'unai	cmavo-compound			   	UI*3      	междометие-рассуждение: вкратце - детально/подробно	См. также {tordu}, {clani}, {tcidu}.
tu	cmavo   	-tuf-		   	KOhA6      	pro-sumti: то вон там; то далеко; указательное местоимение: обозначает вещь/место далеко от говорящего и слушателя
tu'a	cmavo			   	LAhE      	извлекает конкретную sumti из неуказанной точно абстракции; эквивалентно выражению le nu/su'u [sumti] co'e
tu'e	cmavo			   	TUhE      	начало охвата текста из нескольких высказываний; используется для логического/не-логического/порядкового соединения предложений
tu'i	cmavo			   	BAI      	модальный предлог от stuzi, 1-ое место  неотъемлемым местом чего является ... ; метка места
tu'o	cmavo			   	PA5      	цифра/число: нулевой операнд/null операнд (используется в унарных операциях); неспецифическое/опускаемое число; используется в числовых выражениях для заполнения мест/аргументов, которые требуются грамматикой инфиксных операторов,  но не нужны семантически
tu'u	cmavo			   	TUhU      	опускаемый терминатор: окончание охвата текста из нескольких высказываний; редко опускаемо
ty	cmavo			   	BY2      	буквенный символ для t
u	cmavo			   	A      	логический союз: последующая мысль в sumti: "так-или-не-так"
ua	cmavo			   	UI1      	междометие: открытие - смятение/в поисках	См. также {facki}, {cfipu}, {sisku}.
u'a	cmavo			   	UI1      	междометие: приобретение/добыча - потеря	См. также {jinga}, {selne'u}, {prali}, {cirko}.
uanai	cmavo-compound			   	UI*1      	междометие: открытие - смятение/в поисках	См. также {facki}, {cfipu}, {sisku}.
u'anai	cmavo-compound			   	UI*1      	междометие: приобретение/добыча - потеря	См. также {jinga}, {selne'u}, {prali}, {cirko}.
ubu	bu-letteral			   	BY*      	буквенный символ для u
ue	cmavo			   	UI1      	междометие: удивление - не удивлён - ожидаемо	См. также {spaji}.
u'e	cmavo			   	UI1      	междометие: удивление - банальность	См. также {manci}, {fadni}.
uecu'i	cmavo-compound			   	UI*1      	междометие: удивление - не удивлён - ожидаемо	См. также {spaji}.
uenai	cmavo-compound			   	UI*1      	междометие: удивление - не удивлён - ожидаемо	См. также {spaji}.
u'enai	cmavo-compound			   	UI*1      	междометие: удивление - банальность	См. также {manci}, {fadni}.
uepei	cmavo-compound			   	UI*1      	междометие: вопрос относительно удивления
ui	cmavo			   	UI1      	междометие: счастье/радость - несчастье	См. также {gleki}.
u'i	cmavo			   	UI1      	междометие: веселье/увеселение - скука	См. также {selzdi}, {selxajmi}, {xalbo}.
uibu	bu-letteral			   	BY*      	буквенный символ: знак счастья (буквенный символ)
uinai	cmavo-compound			   	UI*1      	междометие: счастье/радость - несчастье	См. также {gleki}.
u'inai	cmavo-compound			   	UI*1      	междометие: веселье/увеселение - усталость	См. также {selzdi}, {selxajmi}, {xalbo}.
uo	cmavo			   	UI1      	междометие: полнота - неполнота	См. также {mulno}, {mansa}, {fanmo}, {snada}.
u'o	cmavo			   	UI1      	междометие: отвага - робость - трусость	См. также {virnu}.
u'ocu'i	cmavo-compound			   	UI*1      	междометие: отвага - робость - трусость	См. также {virnu}.
uonai	cmavo-compound			   	UI*1      	междометие: полнота - неполнота	См. также {mulno}, {mansa}, {fanmo}, {snada}.
u'onai	cmavo-compound			   	UI*1      	междометие: отвага - робость - трусость	См. также {virnu}.
uu	cmavo			   	UI1      	междометие: жалость - жестокость	См. также {kecti}.
u'u	cmavo			   	UI1      	междометие: раскаяние - отсутствие сожаления - невинность	См. также {xenru}, {zugycni}.
u'ucu'i	cmavo-compound			   	UI*1      	междометие: раскаяние - отсутствие сожаления - невинность	См. также {xenru}, {zugycni}.
uunai	cmavo-compound			   	UI*1      	междометие: жалость- жестокость	См. также {kecti}.
u'unai	cmavo-compound			   	UI*1      	междометие: раскаяние - отсутствие сожаления - невинность	См. также {xenru}, {zugycni}.
va	cmavo   	-vaz-		   	VA      	расстояние местоположения: недалеко от ... ; там (относительно ...); среднее расстояние от ...
va'a	cmavo			   	VUhU3      	унарный математический оператор: аддитивная инверсия, инверсия относительно сложения; [- a]
va'e	cmavo			   	MOI      	превращает число в скалярную (то есть относящуюся к шкале) selbri; x_1 занимает (n)-ную позицию на шкале x_2
vai	cmavo			   	PA2      	цифра/число: шестнадцатиричная цифра F (соответствует десятичной 15) [пятнадцать]
va'i	cmavo			   	UI3      	междометие-рассуждение: другими словами - теми же словами	См. также {cneselsku}.
va'inai	cmavo-compound			   	UI*3      	междометие-рассуждение: другими словами - теми же словами
va'o	cmavo			   	BAI      	модальный предлог от vanbi, 1-ое место (условия 1)             в условиях ...; в окружении/среде ...
vau	cmavo			   	VAU      	опускаемая: окончание sumti в простой bridi; в составных bridi отделяет общие sumti в хвосте
va'u	cmavo			   	BAI      	модальный предлог от xamgu, 1-ое место падеж, обозначающий того, кто дает выгоду  для чего хорошим является ...(что)/имея выгоду от ...
ve	cmavo   	-vel-		   	SE      	4-ая конверсия; меняет местами 1/4-ое места; образует новое selbri из исходного с перестановкой x_1 и x_4        Так, если {cusku} означает "высказывать", то {ve cusku} означает "способ высказывания". См. также {se}, {te}, {xe}
ve'a	cmavo			   	VEhA      	интервал местоположения: область пространства, имеющая средний размер
vebe'i	cmavo-compound			   	BAI*      	модальный предлог от benji 4-ое место                            источник передачи ...
veci'e	cmavo-compound			   	BAI*      	модальный предлог от ciste 4-ое место                            как система, проявляющая коллективный эффект/свойство/синергизм ...
vecu'u	cmavo-compound			   	BAI*      	модальный предлог от cusku 4-ое место                            высказываемое способом/посредством ...
vede'i	cmavo-compound			   	BAI*      	модальный предлог от detri 4-ое место                            (в дату) по календарю ...
vedu'o	cmavo-compound			   	BAI*      	модальный предлог от djuno 4-ое место                            через метод/форму познания/эпистемологию ...
ve'e	cmavo   	-ve'e-		   	VEhA      	интервал местоположения: область пространства целиком
vefi'e	cmavo-compound			   	BAI*      	модальный предлог от finti 4-ое место                            созидательно; будучи созидаемым/сочиняемым из ... (идей/элементов)
vega'a	cmavo-compound			   	BAI*      	модальный предлог от zgana 4-ое место (в условиях)         наблюдемо в условиях ...
vei	cmavo			   	VEI      	левая математическая скобка
ve'i	cmavo			   	VEhA      	интервал местоположения: маленькая область пространства
veka'a	cmavo-compound			   	BAI*      	модальный предлог от klama 4-ое место                            по маршруту ...
vemau	cmavo-compound			   	BAI*      	модальный предлог от zmadu 4-ое место (относительное!)                больше чем/превышая на ...(количество)
veme'a	cmavo-compound			   	BAI*      	модальный предлог от mleca 4-ое место (относительное!)                меньше на ...(количество)
ve'o	cmavo			   	VEhO      	правая математическая скобка
vepa'a	cmavo-compound			   	BAI*      	модальный предлог от panra 4nd place (стандарт/геометрия)        подобно; будучи подобным согласно стандарту/геометрии ...
vepu'e	cmavo-compound			   	BAI*      	модальный предлог от pruce 4-ое место (множество из стадий)            проходя через стадии ...(какие стадии; о процессе)
verai	cmavo-compound			   	BAI*      	модальный предлог от traji 4-ое место (множество)                      -ший; самый крайний среди ...
vetai	cmavo-compound			   	BAI*      	модальный предлог от tamsmi, 3-е место                           (подобно/как)/на манер/напоминая идеальную форму/похожий в аспекте ...(каком)	(x_1 имеет форму/похож на x_2 разделяя идеальную форму x_3 в аспекте x_4)
veti'u	cmavo-compound			   	BAI*      	модальный предлог от tcika 4-ое место (для символов)              являясь временем (часы, минуты, секунды) события в месте ...(каком)
ve'u	cmavo			   	VEhA      	интервал местоположения: большая область пространства
vi	cmavo   	-viz-		   	VA      	расстояние местоположения: здесь у/в/на ... ; малое расстояние от ...
vi'a	cmavo			   	VIhA      	размерность 2-мерного пространственного интервала; по всеё площади
vi'e	cmavo			   	VIhA      	размерность 4-мерного пространственного интервала; по всему промежутку/объему пространства-времени
vi'i	cmavo			   	VIhA      	размерность 1-мерного пространственного интервала; по всеё длине
vi ma	cmavo-compound			   	VA*      	sumti-вопрос, спрашивающий насчёт местоположения: у/близ кого/чего? где?
vi'o	cmavo			   	COI      	звательная частица: признаю и подчиняюсь/"будет сделано"
vi'u	cmavo			   	VIhA      	размерность 3-мерного пространственного интервала; по всему объёму
vo	cmavo   	-von-		   	PA1      	цифра/число: 4 (цифра) [четыре]
vo'a	cmavo			   	KOhA4      	pro-sumti: повторяет 1-ое место главного bridi этого предложения
vo'e	cmavo			   	KOhA4      	pro-sumti: повторяет 2-ое место главного bridi этого предложения
voi	cmavo			   	NOI      	ограничивающее придаточное предложение (нет достоверности), используемое для образования сложных le-подобных описаний с использованием "ke'a"
vo'i	cmavo			   	KOhA4      	pro-sumti: повторяет 3-ье место главного bridi этого предложения
voki'o	cmavo-compound			   	PA*      	число/количество: 4,000, выражается с помощью запятой
vomoi	cmavo-compound			   	MOI*      	количественная selbri: преобразует 4 в порядковую selbri; x_1 является четвёртым среди x_2, упорядочиваемых по правилу x_3
vono	cmavo-compound			   	PA*      	число/количество: 40 [сорок]
vonono	cmavo-compound			   	PA*      	число/количество: 400 [четыреста]
vo'o	cmavo			   	KOhA4      	pro-sumti: повторяет 4-ое место главного bridi этого предложения
vo'u	cmavo			   	KOhA4      	pro-sumti: повторяет 5-ое место главного bridi этого предложения
vu	cmavo   	-vuz-		   	VA      	расстояние местоположения: далеко от ... ; вон там (относительно ...); большое расстояние от ...
vu'a	cmavo			   	FAhA1      	отношение/направление интервала местоположения; к западу от ...
vu'e	cmavo			   	UI5      	модификатор междометия: достоинство - грех	См. также {vrude}, {zungi}.
vu'enai	cmavo-compound			   	UI*5      	модификатор междометия: достоинство - грех	См. также {vrude}, {zungi}.
vu'i	cmavo			   	LAhE      	определитель sumti: последовательность, получаемая из множества или составленная из элементов/компонентов; порядок нечёткий
vu'o	cmavo			   	VUhO      	присоединяет в последующей мысли придаточное предложение/фразу, которая охватит при этом все сложные или логически связанные sumti
vu'u	cmavo			   	VUhU1      	n-арный математический оператор: минус; оператор вычитания; [(((a - b) - c) - ...)]
vy	cmavo			   	BY2      	буквенный символ для v
xa	cmavo   	-xav-		   	PA1      	цифра/число: 6 (цифра) [шесть]
xaki'o	cmavo-compound			   	PA*      	число/количество: 6,000, выражается с помощью запятой
xamoi	cmavo-compound			   	MOI*      	количественная selbri: преобразует 6 в порядковую selbri; x_1 является шестым среди x_2, упорядочиваемых по правилу x_3
xano	cmavo-compound			   	PA*      	число/количество: 60 [шестьдесят]
xanono	cmavo-compound			   	PA*      	число/количество: 600 [шестьсот]
xa'o	experimental cmavo			   	ZAhO      	контур интервала события: противоположность za'o: относится к части события, которая происходит до естественного/нормального начала этого события; начинаясь слишком рано, уже ...; <----.	См. {za'o}
xavoki'o	cmavo-compound			   	PA*      	число/количество: 64,000, выражается с помощью запятой
xe	cmavo   	-xel-		   	SE      	5-ая конверсия; меняет местами 1/5-ое места; образует новое selbri из исходного с перестановкой x_1 и x_5        Так, если {draci} означает "пьеса", то {xe draci} означает "актер, играющий в пьесе". См. также {se}, {te}, {ve}
xebe'i	cmavo-compound			   	BAI*      	модальный предлог от benji, 1-ое место (средство)                   будучи передаваемым посредством ...
xei	experimental cmavo			   	PA2      	цифра/число: шестнадцатиричная цифра E (соответствует десятичной 14) [четырнадцать]	Используется как альтернатива к {rei} чтобы не спутать её с {re}.
xeka'a	cmavo-compound			   	BAI*      	модальный предлог от klama, 5-ое место                            двигаясь посредством ...
xi	cmavo			   	XI      	подстрочный индекс; присоединяет к грамматическим структурам следующую буквенно-числовую строку как подстрочный индекс
xo	cmavo			   	PA5      	цифра/число: "сколько?", вопрос относительно числа/цифры/символа; число, о значении которого задается вопрос
xo'e	experimental cmavo			   	PA5      	неуказываемое/опускаемое/неизвестное/неопределённое число	См. также {no'o}, {tu'o}, {xo}, {zo'e}, {co'e} и {do'e}.
xo'i	experimental cmavo			   	XOhI      	извлекает selbri из модального слова, операция, обратная действию fi'o	xo'i bau эквивалентно bangu, xo'i fi'o broda эквивалентно broda
xo'o	experimental cmavo			   	UI5      	модификатор междометия: саркастически/с сарказмом/насмешливо/иронично говоря - искренне/прямо	Нет хорошего междометия для выражения сарказма. Выбрано из-за сходства с {zo'o}.
xu	cmavo			   	UI6      	междометие-рассуждение: вопрос "истинно-ложно"
xy	cmavo			   	BY2      	буквенный символ для x
y	cmavo			   	Y      	шум сомнения; поддерживает минимальный уровень шума, когда говорящий решает, что сказать дальше
ybu	bu-letteral			   	BY*      	буквенный символ для y
y'y	cmavo			   	BY2      	буквенный символ для '
za	cmavo			   	ZI      	расстояние временного интервала: среднее расстояние во времени
za'a	cmavo			   	UI2      	междометие-свидетельство: я наблюдаю	См. также {zgana}, {lanli}.
za'e	cmavo			   	BAhE      	индикатор слова для данного случая в предваряющей мысли; обозначает следующее слово как структуру только для данного случая и, возможно, таким образом нестандартную
zai	cmavo			   	LAU      	2-словный буквенный символ/сдвиг: за ним следует название альтернативного алфавита, а далее строка на этом алфавите
za'i	cmavo   	-zaz-		   	NU1      	абстрактор: абстрактор состояния (события); x_1 - это продолжающееся состояние в [bridi], являющееся истинным
zai'a	experimental cmavo			   	UI5      	модификатор междометия: наблюдаемая эмоция; предшествующее междометие обозначает эмоцию, наблюдаемую говорящим	Заменяет имевшее место сомнительное использование {dai}, которое должно быть оставлено только ля ситуаций, в которых говорящий также чувствует эмоцию. ui nai zai'a - Вижу, ты горюешь. (Наблюдение не ограничивается лишь визуальным наблюдением)
za'o	cmavo   	-za'o-		   	ZAhO      	контур интервала события: продолжающееся слишком долго после естественного/нормального окончания ...(чего); перепродолжительность, передержка  |     ---->
zau	cmavo			   	BAI      	модальный предлог от zanru, 1-ое место                            одобренный (кем), ...
za'u	cmavo			   	PA3      	цифра/число: больше чем; также употребляется для обозначения множественного числа; множественное число
ze	cmavo   	-zel-		   	PA1      	цифра/число: 7 (цифра) [семь]
ze'a	cmavo			   	ZEhA      	временной интервал: отрезок времени средней длительности
ze'aba	cmavo-compound			   	ZEhA*      	временной интервал: временной интервал: промежуток времени средней длительности, смещённый в будущее; (интервал/модальное слово)
ze'aca	cmavo-compound			   	ZEhA*      	временной интервал: промежуток времени средней длительности, охватывающий текущий момент; (интервал/модальное слово)
ze'apu	cmavo-compound			   	ZEhA*      	временной интервал: промежуток времени средней длительности, смещённый в прошлое; (интервал/модальное слово)
ze'e	cmavo   	-ze'e-		   	ZEhA      	временной интервал: всё время, весь отрезок времени
zei	cmavo			   	ZEI      	связывает предшествующее и последующее слово в lujvo
ze'i	cmavo			   	ZEhA      	временной интервал: короткий отрезок времени
zeki'o	cmavo-compound			   	PA*      	число/количество: 7,000, выражается с помощью запятой
zemoi	cmavo-compound			   	MOI*      	количественная selbri: преобразует 7 в порядковую selbri; x_1 является седьмым среди x_2, упорядочиваемых по правилу x_3
zeno	cmavo-compound			   	PA*      	число/количество: 70 [семьдесят]
zenono	cmavo-compound			   	PA*      	число/количество: 700 [семьсот]
ze'o	cmavo   	-zev-   	-ze'o-	   	FAhA4      	отношение/направление интервала местоположения; на той стороне от ...
ze'u	cmavo			   	ZEhA      	временной интервал: большой отрезок времени
zi	cmavo			   	ZI      	расстояние временного интервала: короткое расстояние во времени
zi'a	experimental cmavo			   	UI3a      	индикатор слова для данного случая; обозначает предыдущее слово как структуру только для данного случая и, возможно, таким образом нестандартную	Эквивалент {za'e}, но в классе UI. См. также {za'e}
zi'e	cmavo			   	ZIhE      	связывает придаточные предложения, принадлежащие одной и той же sumti
zi'o	cmavo   	-zil-		   	KOhA7      	pro-sumti: заполняет sumti-место, удаляя его из структуры мест selbri; изменяет семантику данного selbri
zo	cmavo			   	ZO      	цитирует только следующее слово; цитирует одно ложбанское слово (не составное cmavo и не tanru)
zo'a	cmavo   	-zon-   	-zo'a-	   	FAhA4      	отношение/направление интервала местоположения; по касательной к ...(кому/чему)/мимо ...(кого/чего)
zo'e	cmavo			   	KOhA7      	pro-sumti: опускаемое/неуказанное значение места bridi; имеет некое значение, делающее bridi действительным
zo'ei	experimental cmavo			   	LAhE      	что-либо, ассоциирующееся с ...; эквивалентно ''zo'e pe''.	Было замечено много случаев использования "tu'a", на месте котрого на самом деле должен был стоять zo'ei; когда я заметил полезность этого слова, позволяющего убирать целые куски предложений, мне захотелось использовать это слово постоянно.  -camgusmis
zoi	cmavo			   	ZOI      	отделяет цитату, содержащую не-ложбанский текст; с результатом обращаются как с блоком текста
zo'i	cmavo   	-zor-   	-zo'i-	   	FAhA4      	отношение/направление интервала местоположения; с той же самой стороны что и ...
zo'o	cmavo			   	UI5      	модификатор междометия: шучу - скучно - серьёзно	См. также {xajmi}, {junri}.
zo'obu	bu-letteral			   	BY*      	буквенный символ: смайлик, ":-)"и его схожие формы, выражающие юмор (буквенный символ).
zo'ocu'i	cmavo-compound			   	UI*5      	модификатор междометия: шучу - скучно - серьёзно	См. также {xajmi}, {junri}.
zo'onai	cmavo-compound			   	UI*5      	модификатор междометия: шучу - скучно - серьёзно	См. также {xajmi}, {junri}.
zo'u	cmavo			   	ZOhU      	маркирует конец идентификации логических предварённых идентификаторов/топика/темы и начинает bridi предложения (рему/фокус)
zu	cmavo			   	ZI      	расстояние временного интервала: длинное расстояние во времени
zu'a	cmavo			   	FAhA2      	отношение/направление интервала местоположения; слева от ...
zu'e	cmavo			   	BAI      	модальный предлог от zukte, 1-ое место (агент, имеющий цель)           с имеющим цель деятелем, ...
