arktik	cmevla			      	北冰洋
silka	gismu   	-sik-		      	x_1是丝绸/丝织物，由x_2生产制造	参见 {curnu}, {bukpu}, {cilta}.
silna	gismu			      	x_1是盐，来源于x_2，具有组分x_3	参见 {sakta}.
simlu	gismu   	-mlu-		      	x_1 好像具有特性 x_2 ,对观察者 x_3而言，在x_4的情况下.
simsa	gismu   	-smi-		      	x_1和x_2在特性/数量x_3 (ka/ni)上相似; x_1看起来象/表现出来和x_2相似.	 x_1是x_2的镜像; x_1和x_2相似; 参考： {dunli}, {frica}, {mintu}, {panra}, {simlu}, {vrici}.
simxu	gismu   	-sim-   	-si'u-	      	x_1（集合）含有相互地x_2（事件）的元素；（x_1至少映射1个以上的sumti）	成员集x_1中的成员相互做x_2；集合x_1对其每一个成员做同样的事情x_2；参见 {kampu}, {mintu}.
since	gismu			      	x_1是蛇，属于品种/种类x_2	参见 {curnu}, {danlu}, {respa}, {vindu}.
SINgapur	cmevla			      	新加坡	简称“新”；又译“星加坡”，简称“星”。
sinma	gismu   	-si'a-		      	x_1尊敬/高规格的对待x_2（受尊重的对象）	x_2是受人尊敬的；参见 {banli}, {censa}, {misno}, {nelci}, {prami}, {salci}, {jgira}.
sinso	gismu			      	在三角函数上，x_1是角度/反正弦x_2的正弦	参见 {tanjo}.
sinxa	gismu   	-sni-		      	x_1是符号/标志，表达/代表意义/含义x_2，给观察者x_3	x_1有意义的/有象征性的；x_1表示x_2；行动的信号={sniti'i}；内涵/含义= se {sibyti'isni}, {sibyti'ismu}；参见 {lerfu}, {tcita}, {barna}, {mifra}, {smuni}.
sipna	gismu   	-sip-		      	x_1睡觉/是已睡去的	参见 {senva}, {tatpi}, {cikna}, {sanji}.
sirji	gismu   	-sir-		      	x_1是x_2与x_3之间直接的/线性的部分/间隔；x_1是线性的	参见 {korcu}, {linji}, {kruvi}, {kuspe}.
sirxo	gismu   	-six-		      	x_1是关于叙利亚的文化/国家/语言等的事物，在x_2方面	参见 {xrabo}.
sisku	gismu   	-sis-		      	x_1寻找/搜寻x_2，在集合x_3（完整集合）之中	如果寻找的是物体或事件，在x_2位使用tu'a；参见 {cirko}, {kalte}, {kavbu}, {kucli}, {rivbi}, {manci}, {facki}.
sisti	gismu   	-sti-		      	x_1停止/终止/停下活动/进程/状态x_2（不一定完成）	参见 {fanmo}, {mulno}, {cfari}, {denpa}, {fliba}.
sitna	gismu   	-sit-		      	x_1引用/引述x_2（来源）中的信息/陈诉x_3（du'u）	参见 {krasi}.
sivni	gismu   	-siv-		      	x_1是个人的/私人的/非公开的，对x_2来说	也指：x_1是隐私/秘密（某种意义上）；x_2对x_1知情；不知情可在x_2位添加na'e(bo)：{nalselsivni}；参见 {gubni}, {mipri}.
skaci	gismu			      	x_1是裙，由材料x_2制成	参见 {taxfu}, {palku}, {pastu}
skami	gismu   	-sam-		      	x_1是计算机/电脑，具有用途/功能x_2	参见 {kanji}, {minji}, {pensi}.
skapi	gismu   	-kap-		      	x_1是皮/毛皮/皮革，来自x_2	参见 {pilka}, {calku}, {kerfa}.
skari	gismu   	-ska-		      	x_1显示出颜色/色彩x_2，对观察者x_3来说，在条件x_4下；x_1是呈现x_2颜色的	条件包括背景光照，滤镜等等；参见 {blanu}, {bunre}, {cicna}, {cinta}, {crino}, {grusi}, {narju}, {nukni}, {pelxu}, {xunre}, {zirpu}, {carmi}, {kandi}, {xekri}, {blabi}.
skicu	gismu   	-ski-		      	x_1描述/谈论x_2（物体/事件/状态）给接收者x_3，具体描述内容为x_4（性质）	参见 {lisri}, {tavla}.
skiji	gismu   	-sij-		      	x_1是雪橇/溜冰鞋等，用于在表面x_2（材料）上滑行，支撑着溜滑者/货物x_3	参见 {sakli}, {marce}, {cutci}.
skina	gismu   	-kin-		      	x_1是关于x_2（主题/情节/事物）的电影/影片，制作者为x_3，观看者为x_4	x_2可能只是惯例而非主题； 卡通/动画= {selxraci'a} {skina}；电视节目/电视剧={tivyskina}当忽略时长和内容等不同时；参见 {tivni}, {vidni}, {pixra}, {finti}.
skori	gismu   	-sko-		      	x_1是绳/线/缆，由材料x_2制成	参见 {cilta}, {jgena}, {marna}, {bikla}, {linsi}.
skoto	gismu   	-kot-   	-ko'o-	      	x_1是关于盖尔/苏格兰的文化/国家/语言等的事物，在x_2方面	关于爱尔兰的= {sicko'o}，苏格兰的= {sunko'o}，凯尔特的= {dzeko'o}，威尔士的= {nanko'o}，布列塔尼的= {fasko'o}；因为苏格兰/盖尔只是凯尔特的北部分支，所以可能需要使用某个fu'ivla来表示“关于凯尔特的”；国家主义者可能也会要求使用单独的fu'ivla表示“关于爱尔兰的”；参见 {brito}, {glico}.
skuro	gismu   	-ku'o-		      	x_1是表面/物体x_2上的凹槽/壕沟/沟渠	参见 {plixa}.
slabu	gismu   	-sau-		      	x_1是被x_2所熟悉的/了解的/认识的，在性质x_3（ka）方面，基于标准x_4	也指：老的；但它并非包含了所有“老的”含义，而是表示使用/存在了一定时间的（x_2为世界/生命/存在等= loi nu {zasti}，在使用中常被省略）； slabu不是“年轻的”的反义词，年老的= {nalci'o}/{tolci'o}；而是指“新的”的反义词= {tolni'o}；古老的= {tcesau}；存在的时间/年纪= {nilsau}；x_2习惯于x_1（= {selsau}；历史的/具有历史意义的= {cirsau}/{cirselcedra}/{vaipru}；参见 {clani}, {citno}, {cnino}, se {djuno}, {citno}, {djuno})
slaka	gismu			      	x_1是语言x_2的音节	参见 {sance}, {valsi}, {bangu}.
slami	gismu			      	x_1是酸，具有组分x_2；x_1是酸性的 （化学概念）	物质构成中需包含x_2，但x_2位不需要指明全部构成;参见 {slari}, {nimre}.
slanu	gismu			      	x_1是圆柱状的，构成材料为x_2	参见 {kamju}, {gunro}.
slari	gismu   	-sar-		      	x_1是酸味的，对观察者x_2来说	参见 {slami}, {titla}, {kurki}, {nimre}.
slasi	gismu   	-las-		      	x_1是塑料，具有组分/属于类型x_2	参见 {rutni}, {boxfo}, {bukpu}.
sligu	gismu   	-lig-		      	x_1是固体，具有物质/组分x_2，在条件x_3下	条件包括温度和压强；参见 {runta}, {litki}, {gapci}, {jdari}, {dunja}, {pulce}, {jduli}.
slilu	gismu   	-sli-		      	x_1以速率/频率x_2，在集合/状态序列x_3（完整集合）之间来回振荡/摇摆	也指：往复运动；参见 {dikni}, {rilti}, {morna}, {desku}, {slilu}, {janbe}, {boxna}.
sliri	gismu			      	x_1是硫（S）/硫制品	参见 {xukmi}, {panci}, {pelxu}.
slovo	gismu   	-lov-   	-lo'o-	      	x_1是关于斯拉夫的文化/国家/语言等的事物，在x_2方面	参见 {softo}, {rusko}, {vukro}.
sluji	gismu   	-slu-		      	x_1是肌肉，用以控制x_2，属于身体x_3	参见 {rectu}, {xadni}, {zajba}.
sluni	gismu			      	x_1是葱/洋葱/青葱，属于品种/类型x_2	参见 {stagi}.
smacu	gismu			      	x_1是老鼠，属于品种/种类x_2	参见 {ratcu}.
smadi	gismu			      	x_1推测/猜测x_2（du'u）为真，关于主题x_3	也指：x_1预料x_2为真；x_1假想x_2为真；关于认知论的词都含有du'u位；参见 {djuno}, {facki}, {jijnu}, {sruma}.
smaji	gismu   	-sma-		      	x_1（来源）是安静的/寂静的，在观察点x_2看来，基于标准x_3	参见 {kerlo}, {panpi}, {savru}, {tirna}.
smaka	experimental gismu			      	x_1品尝/感受到味道x_2	参见 {tasta}, {vrusi}, {ganse}, {palpi}, {viska}
smani	gismu			      	x_1是猿/猴/星星，属于种族/种类x_2	参见 {mabru}, {danlu}.
smela	experimental gismu			      	x_1是李属类水果（如：李/桃/杏/樱桃等），属于种族/种类x_2	梅子/紫李={zirsmela}，樱桃={xunsmela}，桃={najysmela}，杏={pelsmela}，扁桃={ri'orsmela}，野李/黑刺李={blasmela}；参见 {rutrprunu}, {ricrprunu}, {flaume}, {persika}, {rutrceraso}, {birkoku}, {frambesi}, {fragari}, {plise}, {perli}, {rozgu}
smoka	gismu   	-smo-		      	x_1是袜/袜子，由材料x_2制成	参见 {cutci}, {taxfu}.
smuci	gismu   	-muc-		      	x_1是勺子/汤匙/铲，具有用途x_2，由材料x_3制成	参见 {dakfu}, {forca}, {tutci}.
smuni	gismu   	-mun-   	-smu-	      	x_1是x_2的含义/内涵/阐释/解释，对于接受者/观察者x_3来说	参考意义/指涉意义 （={selsni}/{snismu}）；参见 {jimpe}, {sinxa}, {valsi}, {tanru}, {gismu}, {lujvo}, {cmavo}, {jufra}.
snada	gismu   	-sad-		      	x_1完成/做完x_2，作为努力/尝试/辛苦x_3的结果	也指：x_1达成x_2；x_1是成功的；x_2（事件/状态/成就）；参见 {fliba}, {troci}, {jgira}.
snanu	gismu   	-nan-		      	x_1是在x_2南方/x_1是南方，方向的参考系为x_3	参见 {berti}, {stuna}, {stici}, {farna}.
snidu	gismu   	-nid-		      	在持续时间长度上，x_1是x_2个秒钟（默认为1）的，基于标准x_3	参见 {cacra}, {junla}, {mentu}, {tcika}, {centi}, {decti}, {dekto}, {femti}, {gigdo}, {gocti}, {gotro}, {kilto}, {megdo}, {mikri}, {milti}, {nanvi}, {petso}, {picti}, {terto}, {xatsi}, {xecto}, {xexso}, {zepti}, {zetro}.
snime	gismu   	-si'e-		      	x_1是雪	参见 {bratu}, {carvi}, {bisli}.
snipa	gismu   	-nip-		      	x_1坚持x_2,；x_1是粘性的/粘着的	x_1是表面粘性的，x_2不必要具有粘性；参见 {tarla}, {viknu}.
snuji	gismu   	-nuj-		      	x_1是三明治/三明治状的/有层次的（不特指食物），有x_2被夹在x_3之间	参见 {midju}, {nenri}, {sepli}, {senta}, {jbini}, {bitmu}, {sruri}.
snura	gismu   	-nur-   	-nu'a-	      	x_1是安全的（不会受到伤害/攻击），在威胁/危险x_2（事件）下	参见 {ckape}, {kajde}, {marbi}, {terpa}, {xalni}, {bandu}.
snuti	gismu   	-nut-		      	x_1（事件/状态）是偶然发生的/不是刻意的/意外的，由其中x_2部分表现出；x_1是意外/突发事件	参见 {zukte}, {cunso}.
sobde	gismu   	-sob-   	-so'e-	      	x_1是大豆/黄豆，属于种类/品种x_2	参见 {dembi}, {gurni}.
sodna	gismu			      	x_1是碱金属，具体为x_2（默认为：钠）	也指：锂，钾，铯等；参见 {jilka}, {jinme}.
sodva	gismu   	-sod-		      	x_1是碳酸饮料，具有口味/属于品牌x_2	也指：软饮料（不含酒精的饮料）；参见 {jilka}, {jinme}.
softo	gismu   	-sof-		      	x_1是关于沙皇俄国/前苏联/独联体俄罗斯的文化/国家/语言等的事物，在x_2方面	参见 {rusko}, {vukro}, {slovo}.
sol	cmevla			      	首尔
solji	gismu   	-slo-		      	x_1是金（Au）/金制品	参见 {ricfu}, {rijno}, {narju}, {pelxu}.
solri	gismu   	-sol-		      	x_1是太阳，被行星x_2环绕（默认地球），行星上有种族x_3；x_1是有关于太阳的	若行星上存在生物种族，它指的该生物正存在于其上的行星，而非该生物的起源星球；参见 {gusni}, {lunra}, {mluni}, {plini}, {santa}, {terdi}, {tarci}.
sombo	gismu   	-som-   	-so'o-	      	x_1播种/种植x_2（植物/作物），在位置x_3处、	参见 {crepu}, {tsiju}.
sonci	gismu   	-son-   	-soi-	      	x_1是属于军队x_2的士兵/战士/军人	参见 {bilni}, {damba}, {jenmi}, {xarci}, {pulji}.
sorcu	gismu   	-soc-   	-sro-	      	x_1是（物质/能源）x_2的储备/储藏/补给品/贮藏，在储藏室/仓库x_3中	x_3不必要是容器，也可能是地点/位置等；参见 {panka}, {vreji}信息的存储; {sabji}, {banxa}
sorgu	gismu   	-sog-		      	x_1是高粱/黍，属于品种/种类x_2	参见 {gurni}.
sorta	experimental gismu			      	x_1近似是/做x_2（nu/ka），在条件x_3下	这是一个的词，用于与{kinda}或{sorta}构成tanru
sovda	gismu   	-sov-   	-so'a-	      	x_1是生殖细胞/配偶子（如：卵子/精子/花粉/禽蛋等），来自有机体x_2	卵形的= {pevyso'aseltai}/{claboi}，卵/卵子= {fetso'a}，禽蛋= {cpifetso'a}/{cpiso'a}，鸡蛋={jipcyfetso'a}/{jipcyso'a}；如果已经受精，可使用 {tsiju}/{tarbi}；参见 {ganti}, {gutra}, {mamta}, {patfu}, {rorci}, {tsiju}, {lanbi}, {tarbi}, {djine}, {konju}, {tarbi}
spaji	gismu   	-paj-		      	x_1（事件/行为谓词子句）惊讶到x_2；x_1是出乎意料的，对x_2来说	期望/预期/在意料之中= {nalspaji}；警报={tepspaji}；参见 {manci}, {jenca}, {bredi}, {suksa}.
spali	gismu			      	x_1擦亮表面/物体x_2，使用擦亮剂x_3，擦用工具x_4	参见 {mosra}, {sraku}, {xutla}.
spano	gismu   	-san-		      	x_1是关于西班牙/说西班牙语的文化/国家/语言等的事物，在x_2方面	{spano}只限定于指西班牙相关的，对比{xispo}；（可参考 glico 与 merko/sralo/brito/kadno之间的比较）；西班牙= {sangu'e}；西班牙的西班牙语/卡斯提尔语= {sansanbau}；参见 {xispo}, {ketco}, {mexno}, {gento}.
spati	gismu   	-spa-		      	x_1是植物，属于品种/种类x_2	x_1是关于植物的；参见 {genja}, {grute}, {gurni}, {latna}, {rozgu}, {stagi}, {tricu}, {tsiju}, {tujli}, {xruba}, {xrula}, {pezli}, {srasu}.
speni	gismu   	-spe-		      	x_1与x_2结婚；x_1是x_2的配偶，基于法律/习俗/传统/体系/协定x_3	参见 {prami}, {gletu}.
spero	experimental gismu			      	x_1是关于世界语的文化/国家/语言等的事物，在x_2方面
spisa	gismu   	-spi-		      	x_1（物体/物质）是物质x_2上的一块/一部分	参见 {pagbu}.
spita	gismu			      	x_1是治疗病人x_2的医院，病人患有疾病/带有伤口x_3	收容所（特指在x_2填入lenu mrobi'o ）= {mrospita}； 参见 {bilma}, {mikce}.
spofu	gismu   	-pof-   	-po'u-	      	x_1是破裂的/崩坏的/不可用的，对于功用x_2来说	（施事的}使……破裂/打破= {pofygau}/{pofyzu'e}；（非施事的）因为某个原因而意外破裂= {pofyja'e}/{nutpo'uja'e}；参见 {daspo}, {katna}, {porpi}, {se} {xrani}, {cikre}.
spoja	gismu   	-poj-   	-po'a-	      	x_1分解/破裂/燃烧/衰变成碎片/组件/能量x_2	参见 {cecla}, {jakne}, {jbama}.
spuda	gismu   	-spu-		      	x_1对x_2（人/物/事/情形/刺激）做出回应/回答/回复x_3	x_3指答复/回应/响应；如果x_2位是人/物，使用tu'a是对此人/物的某种行为的回应，但如果人/物本身是刺激源，则不需要tu'a；参见 {cusku}, {preti}, {nabmi}, {danfu}, {frati}, {cpedu}.
sputu	gismu   	-put-   	-pu'u-	      	x_1吐唾液/吐痰x_2（主要是液体），从x_3到x_4	痰/唾液/唾沫={molselpu'u}；参见 {jetce}, {kafke}, {vamtu}.
sraji	gismu   	-raj-		      	x_1是竖直的，基于标准/重力方向/参考系x_2	参见 {sanli}, {pinta}.
sraku	gismu   	-rak-		      	x_1（用于刮擦/侵蚀/腐蚀/切割的物体/工具）刮擦/侵蚀/腐蚀/切割x_2；	参见 {guska}, {katna}, {mosra}, {plixa}, {kakpa}, {spali}
sralo	gismu			      	x_1是关于澳大利亚的文化/国家/语言等的事物，在x_2方面	参见 {glico}.
srana	gismu   	-ra'a-		      	x_1与x_2是相关的/有联系的/有关联的；x_1相关于/关系到x_2	参见 {ra'a}, {ckini}, {ponse}, {steci}.
srasu	gismu   	-sas-		      	x_1是草叶，属于品种/种类x_2	草地/草坪= {sasfoi}；参见 {spati}.
srera	gismu   	-sre-		      	x_1做事件x_2是错误的/谬误的，在条件/环境x_3下，基于标准x_4	参见 {drani}, {cfila}, {fliba}
srito	gismu			      	x_1是关于梵语的文化/国家/语言等的事物，在x_2方面	参见 {xindo}, {xurdo}.
sruma	gismu   	-ru'a-		      	x_1假设/假定/猜测x_2（du'u）为真，关于主题x_3	关于认知论的词都含有du'u位；参见 {smadi}, {birti}.
sruri	gismu   	-rur-   	-sru-	      	x_1环绕/保卫/围绕x_2，在方向/尺寸/范围x_3上	{jinsru}=x_1环绕/保卫x_2的环/圈（在某些维度上完全封闭）；参见 {karli}, {senta}, {snuji}, {vanbi}, se {nenri}, se {jbini}, {bartu}, {djine}.
stace	gismu   	-sac-		      	x_1对x_2是诚实的/坦白的/率直的，关于问题/事实x_3	也指：直白的/直接的；参见 {tcica}, {jetnu}, {jitfa}, {mipri}.
stagi	gismu			      	x_1是可食用的部分x_2，属于植物x_3；x_1是蔬菜	包括水果和坚果等几乎所有可食用的植物；（非水果）蔬菜={nalrutstagi}；参见 {grute}, {kobli}, {narge}, {sluni}, {spati}, {sunga}, {tamca}.
staku	gismu   	-tak-		      	x_1是x_2制作的陶瓷，具有组分x_3，形式/结构x_4	由烤粘土或其它非金属固体制成；物质构成中需包含x_3，但x_3位不需要指明全部构成；参见 {kliti}.
stali	gismu   	-sta-		      	x_1保留/忍受/容忍/停留在x_2	参见 {vitno}, {zasni}, {ralte}, {stodi}, {xabju}, {stuzi}, {renvi}.
stani	gismu			      	x_1是枝干/秆/茎，属于植物/物种x_2	参见 {tuple}, {mudri}.
stapa	gismu   	-tap-		      	x_1在表面x_2上行走/踩踏，使用肢体x_3	参见 {bajra}, {plipe}, {cadzu}, {serti}.
stasu	gismu			      	x_1是汤/什锦菜/杂烩，配料包括x_2	x_2是x_1的配方/组分/配料；参见 {sanmi}, {mixre}, {salta}, {sanso}.
stati	gismu			      	x_1在做/成为x_2方面是有天分的/有天赋的	参见 {jinzi}, {certu}, {rarna}, {larcu}, {kakne}.
steba	gismu   	-seb-		      	x_1对x_2（谓词子句）感到挫折	参见 {cinmo}.
steci	gismu   	-tec-   	-te'i-	      	x_1（ka）是x_2上特别的/特殊的/特一的/具有特别的属性的，x_2位于集合x_3之中	也指：奇怪的/特有的；x_3是完全指明的的集合；参见 {srana}, se {ponse}, {ckini}, {tcila}, {tutra}.
stedu	gismu   	-sed-		      	x_1是头（身体部位）	骷髅头= {sedbo'u}；参见 {drudi}, {mebri}, {xedja}, {besna}, {flira}, {mapku}.
stela	gismu   	-tel-		      	x_1是锁/封条/封印，用以锁住x_2，使用上锁原理x_3	参见 {ckiku}.
stero	gismu   	-te'o-		      	在立体角度量上，x_1是x_2个球面度（默认为1）的，基于标准x_3	参见 {centi}, {decti}, {dekto}, {femti}, {gigdo}, {gocti}, {gotro}, {kilto}, {megdo}, {mikri}, {milti}, {nanvi}, {petso}, {picti}, {terto}, {xatsi}, {xecto}, {xexso}, {zepti}, {zetro}.
stici	gismu   	-sic-		      	x_1是在x_2西方/x_1是西方，方向的参考系为x_3	参见 {stuna}, {berti}, {snanu}, {farna}.
stidi	gismu   	-sid-   	-ti'i-	      	x_1（人）建议/提议主意/行为x_2给接收者x_3；x_1（事件）激发出x_2（灵感等）给x_3	给人带来灵感/提出建议/带来启发的事件= {faurti'i}/{sidyfau}；参见 {ti'i}, {tcica}, {xlura}.
stika	gismu   	-tik-		      	x_1（事件）调整/调节/改变x_2（ka/ni），在数量/程度x_3方面	不指明结果，指明变化原因；（施事的）调整={tikygau}/{tikyzu'e}；参见：{cenba}不指明变化原因， {galfi}指明因果，{binxo}不指明原因但指明结果，{zasni}, {stodi}.
stizu	gismu   	-tiz-		      	x_1是用于坐的家具（如：椅子/凳子/沙发等）	参见 {nilce}, {zutse}, {jubme}, {ckana}.
stodi	gismu   	-sto-		      	x_1是不变的/恒定的，在性质x_2（ka）上，在刺激/条件x_3下	也指：稳定的/稳固的/坚定的；参见 {cenba}, {stika}, {stali}, {vitno}, {manfo}, {zasni}, {tinsa}, {jdari}.
stuna	gismu   	-sun-		      	x_1是在x_2东方/x_1是东方，方向的参考系为x_3	参见 {stici}, {berti}, {snanu}, {farna}.
stura	gismu   	-tur-   	-su'a-	      	x_1是由x_2（集合/系统等）构成的组织/机构/结构	x_2位若为集合，则应全部指明；参见 {ganzu}, {morna}, {ciste}, {lujvo}, {greku}, {gerna}.
stuzi	gismu   	-tuz-   	-stu-	      	x_1是x_2（物/事）的固有的位置/地点	通常用于形容那些位置固定的事物；参见 {tu'i}, {jmive}, {diklo}, {zvati}, {tcini}, {xabju}, {jibni}, {judri}, {lamji}, {mokca}, {stali}.
sucta	gismu   	-suc-		      	x_1（si'o）是x_2（具体的事）的概述/摘要，基于规则x_3	参见 {fatci}, {xanri}.
sudga	gismu   	-sud-		      	x_1是干燥的，不含有液体x_2	参见 {cilmo}, {litki}, {runta}.
sufti	gismu   	-sfu-		      	x_1是x_2的蹄（身体部位）	参见 {xirma}.
suksa	gismu   	-suk-		      	x_1（事件/状态）是突然的/急剧改变，在阶段/位置点x_2，在进程/性质/用途x_3上	也指：突发的/不连续的；参见 {spaji}, {vitci}, {vlile}.
sumji	gismu   	-suj-		      	x_1是x_2加上x_3的和（数学概念）	参见 {jmina}, {jalge}, {mulno}, {pilji}.
sumne	gismu			      	x_1闻/嗅/依据气味探测x_2；x_2是有气味的，对于x_1来说	参见 {nazbi}, {panci}, {cpina}, {ganse}, {zgana}.
sumti	gismu   	-sum-   	-su'i-	      	x_1是谓词x_2的项，填入位x_3（种类/数字）	x_1位与x_2位均为文本；参见 {bridi}, {darlu}, {gismu}.
sunga	gismu   	-sug-		      	x_1是蒜，属于种类/品种x_2	参见 {stagi}.
sunla	gismu   	-sul-		      	x_1是毛/毛制品，来自动物/物种/来源x_2	参见 {kosta}, {kumte}, {lanme}, {kanba}, {bukpu}, {kerfa}.
suomen	cmevla			      	芬兰
suomis	cmevla			      	芬兰
surla	gismu   	-sur-		      	x_1做/成为x_2是自在的/闲的/休息的/空闲的	参见 {dunku}, {tatpi}, {cando}, {vreta}.
sutra	gismu   	-sut-		      	x_1是做/成为x_2（事件/状态）是快的/快速的	参见 {masno}.
suzyn	cmevla			      	苏珊	音译人名，又译“苏姗”
tabno	gismu   	-tab-		      	x_1是碳（C）/含碳的；x_1是有机物的	参见 {kolme}.
tabra	gismu			      	x_1是铜管乐器（如：圆号/长号/喇叭等）	参见 {zgike}.
tadji	gismu			      	x_1（过程）是做事件x_2的方法/技术/方式/途径，在条件x_3下	也指：模式/道路； 实施的方法= {tratadji}；模式= {montadji}/{tadjymo'a}/{platadji}/{tadjypla}；参见 {ciste}, {pruce}, {zukte}, {pluta}, {ta'i}.
tadni	gismu   	-tad-		      	x_1学习x_2/是x_2的学生；x_1是学生/关于学者的	参见 {ckule}, {cilre}, {ctuca}.
tagji	gismu   	-tag-		      	x_1是紧的/紧密的x_2，在尺寸/方向x_3上，在位置x_4	参见 {trati}, {jarki}, {kluza}, {rinju}.
taibeis	cmevla			      	台北
taksi	experimental gismu			      	x_1是出租车	参见 {aftobuso}, {tcadu}, {karce}
talsa	gismu   	-tal-		      	x_1（人）挑战x_2，在性质x_3上	参见 {jinga}, {damba}, {darlu}, {jivna}, {nandu}有挑战性的事件或情形
tamca	gismu			      	x_1是番茄/西红柿，属于品种/种类x_2	参见 {grute}, {stagi}.
tamji	gismu   	-taj-		      	x_1是拇指/大脚趾，长在肢体x_2上，属于人/动物x_3	拇指={xantamji}；大脚趾={jmatamji}；参见 {degji}, {tance}, {xance}, {jamfu}.
tamne	gismu			      	x_1是x_2的堂/表兄弟姐妹，依据标准/关系x_3（不一定是家庭成员，默认为同一代人）	也可能是具有比喻性质的兄弟姐妹；参见 {dzena}, {famti}, {mensi}, {bruna}, {tunba}.
tanbo	gismu   	-ta'o-		      	x_1是板（三维的矩形结构），由材料x_2制成	参见 {bliku}, {kubli}.
tance	gismu   	-tac-		      	x_1是x_2的舌头（身体部位）	x_1是关于舌头的/舌状的；参见 {moklu}, {bangu}, {nazbi}, {tamji}, {degji}.
tanjo	gismu			      	在三角函数上，x_1是角度/反正切x_2的正切	参见 {sinso}.
tanko	gismu			      	x_1是烟草，属于物种/种类x_2	参见 {sigja}, {marna}.
tanru	gismu   	-tau-		      	x_1是由x_2修饰x_3得到的词组（二元结构），具有含义x_4，在用例/用法x_5中	x_2与x_3都是文本或si'o；参见 {gismu}, {smuni}.
tansi	gismu   	-tas-		      	x_1是一种较浅的容器（如：盆/桶/锅等），用于装盛x_2，具有属性/构造材料x_3	也指：碗；参见 {baktu}, {palne}, {palta}, {patxu}, {kabri}通常端起来使用的容器, {botpi}.
tanxe	gismu   	-tax-   	-ta'e-	      	x_1是盒/箱，用于装x_2，由材料x_3制成	参见 {bakfu}, {botpi}, {cutne}, {dacru}.
tapla	gismu			      	x_1是小块片状的物体，由材料x_2构成，具有形状x_3，厚度x_4	应当是三维物体，第三维相对于其它两维要明显短薄；“街区”也是一个概念上的块状物；近似二维的块状物/卡片= {taplytai}/{kardytai}；线圈={lijyclupa} ；参见 {bliku}, {kubli}, {matci}, {karda}, {bliku}, {kurfa}, {matci}, {plita}, {tarmi}
tarbi	gismu			      	x_1是胚胎/胚芽/受精卵/结合子，来自母本x_2，父本x_3	参见 {gutra}, {mamta}, {patfu}, {sovda}, {rorci}, {tsiju}, {grute}.
tarci	gismu   	-tar-		      	x_1是恒星，具有属性x_2	参见 {solri}, {tsani}.
tarla	gismu			      	x_1是沥青/柏油，来源于x_2	参见 {kolme}, {pesxu}, {snipa}.
tarmi	gismu   	-tam-   	-tai-	      	x_1（典范/模式）是x_2（物体/表现/谓词子句）的概念上的形式/形状	x_1是数学或者理论上的理想范式，x_2是显示其的物体或事件实例；对比：圆形物= {cukseltai}，圆={cuktai}而只是用cukla则易产生歧义；模型= {ci'ersaptai}, {saptai}, {ci'ersmitai}, {smitai}；参见 {nejni}, te {marji}, {tapla}, {bliku}, {kubli}, {kurfa}, {cukla}, {mapti}, {morna}, {sarlu}.
tarti	gismu   	-tra-		      	x_1以方式x_2（事件/性质）进行行为/动作，在条件x_3下	x_1是行为的；参见 {cnano}, {frati}, {tcaci}, {cilce}, {jikca}, {marde}.
taske	gismu			      	x_1想要喝饮料/液体x_2；x_1是口渴的	参见 {nitcu}, {djica}, {xagji}, {pinxe}.
tasmi	experimental gismu			      	x_1是行为/事件x_2发生的方式	逻辑语一直缺少一个gismu来表达“x_1是x_2发生的方式”，后来{tai}被用于表达此意，但因为BAI需要建立在brivla（通常是gismu）的基础上，于是{tamsmi}被发明了出来；所以{tasmi} 才是{tai}真正对应的brivla；参见 {tai}, {tamsmi}
tasta	experimental gismu			      	x_1是x_2的味道	参见 {smaka}, {vrusi}, {kukte}, {krumami}, {silna}
tatpi	gismu   	-ta'i-		      	x_1是累的/疲倦的/劳累的，因为劳动/情形x_2（事件）；x_1需要/想要休息	参见 {cikna}, {sipna}, {surla}.
tatru	gismu   	-tat-		      	x_1是x_2的乳房/乳头（身体部位）	乳头={tatyji'o}；参见 {ladru}, {mabru}.
tavla	gismu   	-tav-   	-ta'a-	      	x_1 用 x_4（语言）来说 x_3这件事给 x_2 听	并不限于口头演讲 参见：{bacru}, cusku for actual expression, {casnu}, {darlu}, {skicu}, {ciksi}, {bangu}.
taxfu	gismu   	-taf-   	-ta'u-	      	x_1是服饰，为了给x_2（性别/物种/身体部位等）穿戴，具有功能/用途x_3	也指：x_2可穿戴x_1；指可用作服饰的物体，而非那些正好被穿在身上的服饰{dasni}；参见 {creka}, {cutci}, {daski}, {dasni}, {gluta}, {kosta}, {mapku}, {palku}, {pastu}, {skaci}, {smoka}, {lunbe}.
tcaci	gismu   	-cac-		      	x_1是x_2的习俗/习惯，在条件x_3下	也指：x_1是常见的/司空见惯的；参见 {fadni}, {kampu}, {lakne}, {jinzi}, {ckaji}, {cnano}, {tarti}, {ritli}, {javni}, {zekri}.
tcadu	gismu   	-tca-		      	x_1是城镇，具有城区范围x_2，在政治单位x_3中，服务于周边区域x_4（城市总范围，包括城市辖区内的农村地区）	x_1是关于城镇的；参见 {jarbu}, {nurma}, {cecmu}.
