sema'i	cmavo-compound			   	BAI*      	～の標準／照合枠として ： manri 法制詞, x_2	・読み方： セマヒ
semau	cmavo-compound			   	BAI*      	～よりも多くて ： zmadu 法制詞, x_2	・読み方： セマウ
seme'a	cmavo-compound			   	BAI*      	～よりも少なくて ： mleca 法制詞, x_2	・読み方： セメハ
seme'e	cmavo-compound			   	BAI*      	～の名前として ： cmene 法制詞, x_2	・読み方： セメヘ
semu'i	cmavo-compound			   	BAI*      	～を（動機によって）起こして ： mukti 法制詞, x_2	・読み方： セムヒ
semu'u	cmavo-compound			   	BAI*      	～の例となって ： mupli 法制詞, x_2	・読み方： セムフ
seni'i	cmavo-compound			   	BAI*      	～が（論理によって）必然で ： nibli 法制詞, x_2	・読み方： セニヒ
se'o	cmavo			   	UI2      	内面的知	心態詞（認識系）； 自分個人の内面的な経験（夢／勘／悟り等から知っている） ・読み方： セホ  ・関連語： {senva}
sepa'a	cmavo-compound			   	BAI*      	～に並行して／～と同じように ： panra 法制詞, x_2	「pe'i lo ckunu zo'u sepa'anai lo nu lo pru'unymume cu se lu'a zei kaizga kei se lu'o zei kaizga／松は梅が孤立的に味はゝれるものに対して群団的に観るべきものだらう」 （山頭火『行乞記（二）』） ・読み方： セパハ
sepa'u	cmavo-compound			   	BAI*      	～の部分として ： pagbu 法制詞, x_2	・読み方： セパフ
sepi'o	cmavo-compound			   	BAI*      	～を使って／用いて ： pilno 法制詞, x_2	・読み方： セピホ
sepo'i	cmavo-compound			   	BAI*      	～を並び方／配列の原理として ： porsi 法制詞, x_2	・読み方： セポヒ
sepu'a	cmavo-compound			   	BAI*      	～を楽しませて／～が楽しんで ： pluka 法制詞, x_2	・読み方： セプハ
sepu'e	cmavo-compound			   	BAI*      	～を入力として ： pruce 法制詞, x_2	・読み方： セプヘ
sera'a	cmavo-compound			   	BAI*      	～に関連して ： srana 法制詞, x_2	・読み方： セラハ
serai	cmavo-compound			   	BAI*      	～（性質）において最上で ： traji 法制詞, x_2	・読み方： セライ
sera'i	cmavo-compound			   	BAI*      	～の起源として ： krasi 法制詞, x_2	・読み方： セラヒ
seri'a	cmavo-compound			   	BAI*      	～が（原因によって）起こって ： rinka 法制詞, x_2	・読み方： セリハ
seri'i	cmavo-compound			   	BAI*      	～を経験して ： lifri 法制詞, x_2	・読み方： セリヒ
sesau	cmavo-compound			   	BAI*      	～にとって必須で ： sarcu 法制詞, x_2	・読み方： セサウ
sesi'u	cmavo-compound			   	BAI*      	～を助けて／～の補助となって ： sidju 法制詞, x_2	・読み方： サスィフ
setai	cmavo-compound			   	BAI*      	～みたいに／～風に ： tamsmi 法制詞, x_2	・読み方： セタイ
seta'i	cmavo-compound			   	BAI*      	～の方法／手段として ： tadji 法制詞, x_2	・読み方： セタヒ
seti'i	cmavo-compound			   	BAI*      	～を示唆して／勧めて ： stidi 法制詞, x_2	・読み方： セティヒ
seti'u	cmavo-compound			   	BAI*      	～の時刻として ： tcika 法制詞, x_2	・読み方： セティフ
setu'i	cmavo-compound			   	BAI*      	～の場所として ： stuzi 法制詞, x_2	・読み方： セトゥヒ
se'u	cmavo			   	SEhU      	挿入句終了： 境界詞； sei や soi で開かれた挿入句の範囲を閉じる	・読み方： セフ ・関連語： {sei}, {soi}
seva'o	cmavo-compound			   	BAI*      	～の環境／状況として ： vanbi 法制詞, x_2	・読み方： セヴァホ
seva'u	cmavo-compound			   	BAI*      	～のために／～の利益として ： xamgu 法制詞, x_2	・読み方： セヴァフ
sezau	cmavo-compound			   	BAI*      	～を承認して ： zanru 法制詞, x_2	・読み方： セザウ
sezu'e	cmavo-compound			   	BAI*      	～を行為して／振舞って ： zukte 法制詞, x_2	・読み方： サズヘ
si	cmavo			   	SI      	語消去 ： si を除く直前のロジバン語を消去する； 「mi klama e si si si」では「mi klama e」全てが消去される	・読み方： スィ
si'a	cmavo			   	UI3b      	同様	心態詞（談話系）；「lo'e viska lo jvinu be ru'u lo vo'a zdani cu slabu viska .i si'a mi zo'u lo sance be ru'u lo mi zdani cu slabu nenri lo mi mivru'e／普通の目の見える人が、自分の家のあたりの景色に親しみを持って見るのと同様に、私には自分の住んでいる近所の音が、私の生活の中に入っているわけである」（宮城道雄『垣隣り』） ・読み方： スィハ  ・関連語： {simsa}, {panra}
si'anai	cmavo-compound			   	UI*3      	うってかわって
si'e	cmavo			   	MOI      	分量 selbri ： 数量詞の右に付いて、分量を表す selbri となる；	「pi re si'e nanba／２割分のパン」 ・読み方： スィヘ
si'i	cmavo			   	VUhU4      	総和記号／∑ ： 数理演算子（3変数）； a の総和、変数 b の区間 c にわたる	・読み方： スィヒ
si'o	cmavo   	-siz-		   	NU      	概念抽象 ： 抽象詞； bridi の左に付いて、その bridi が内包する概念を抽出する； 抽象の焦点となる sumti を ce'u に替えて置ける； bridi の範囲を含めた全体が１つの selbri となる； 冠詞を左に加えると sumti になる；x_1 は［bridi］に表される概念、 x_2 （思考者）の	・大意： 抽象： 概念 ・読み方： スィホ  ・関連語： {sidbo}
si'u	cmavo			   	BAI      	～が助けて／～が補助となって ： sidju 法制詞, x_1	・読み方： スィフ
so	cmavo   	-soz-		   	PA1      	9 ： 数量詞；	・大意： 9 ・読み方： ソ
so'a	cmavo   	-soj-		   	PA4      	ほぼ全ての ： 数量詞；	・大意： 殆ど ・読み方： ソハ
so'e	cmavo   	-sop-		   	PA4      	ほとんどの ： 数量詞；	・大意： 大半 ・読み方： ソヘ
soi	cmavo			   	SOI      	相互 sumti ： お互いに； 右に連なる sumti 間の相互関係を表す	連なる sumti のうち、 soi の直前に来る sumti を表しているものは省略できる（mi prami do soi vo'a vo'e → mi prami do soi vo'a）； 終端子は {se'u}。 「soi SUMTI SUMTI se'u」 という構文で、文中のどこにでも置ける挿入句を構成する。この性質から、 「soi xi re li pai li te'o mi klama le zarci」 のような意味不明の文が、文法上は作成可能である。 また、単なる挿入句であるため、文法上は terbri を構成する sumti の順番に影響を与えず、「2つの sumti を交換しても文が成り立つ」という本来の意図を構文に反映させることができない。 このように構造上の問題点が多いため、この定義による soi の使用を止めている話者が多い。 ・読み方： ソイ ・関連語： {simxu}
so'i	cmavo   	-sor-   	-so'i-	   	PA4      	たくさんの ： 数量詞；	・大意： 沢山 ・読み方： ソヒ
so'o	cmavo   	-sos-		   	PA4      	いくつかの ： 数量詞；	・大意： 幾つか ・読み方： ソホ
so'u	cmavo   	-sot-		   	PA4      	少しの ： 数量詞；	・大意： 少し ・読み方： ソフ
su	cmavo			   	SU      	発話消去 ： それまでの発話を消去し、これを無かったことにする； 改めて話しなおす	・読み方： ス
su'a	cmavo			   	UI2      	一般化 （ su'a 一般化 - su'anai 特殊化）	心態詞（認識系）；「一般には」 ・読み方： スハ  ・関連語： {sucta}, {sucni'i}
su'anai	cmavo-compound			   	UI*2      	特殊化 （ su'a 一般化 - su'anai 特殊化）	心態詞（認識系）； ・読み方： スハナイ
su'e	cmavo   	-sup-   	-su'e-	   	PA4      	最大で～／多くとも～ ： 数量詞；	・大意： 多くても ・読み方： スヘ
su'i	cmavo			   	VUhU1      	足し算 ： 数理演算子（n変数）； [(((a + b) + c) + ...)]	・読み方： スヒ
su'o	cmavo   	-suz-   	-su'o-	   	PA4      	最小で～／少なくとも～ ： 数量詞；	・大意： 少なくとも ・読み方： スホ ・関連語： {cmalu}, {mleca}
su'oi	experimental cmavo			   	PA4      	∃（存在）を表す複数量化子	``{su'oi} {da}'' = ``{na} {ku} {ro'oi} {da} {na} {ku}.'' cf. {su'o} は ∃ を表す単数量化子
su'u	cmavo   	-suv-		   	NU      	不特定抽象 ： 抽象詞； bridi の左に付いて、その bridi の不特定の内包要素を抽出する； 抽象の焦点となる sumti を ce'u に替えて置ける； bridi の範囲を含めた全体が１つの selbri となる； 冠詞を左に加えると sumti になる；x_1 は［bridi］に表される不特定の抽象、 x_2 （種類）の	NUの中では抽出対象の範囲が最も広い。・大意： 抽象： 不特定 ・読み方： スフ  ・関連語： {sucta}
sy	cmavo			   	BY2      	s ： 字詞；	・読み方： スァ
ta	cmavo   	-taz-		   	KOhA6      	それ（そこのもの） ： 代詞（sumti）；	聴き手の近くにある対象（物／事）を指示する。また、話者からある程度離れた対象を指示する（{ti} と {tu} の間）ことも。・大意： それ ・読み方： タ ・関連語：{ti}, {tu}
ta'a	cmavo			   	COI      	中断／割り込み ：心態詞（呼応系）； 他人同士の会話に割り込んだり、相手の発話を中断させる	・読み方： タハ
ta'e	cmavo			   	TAhE      	習慣的に／いつものように ： 相制詞（時間・間隔）；	・読み方： タヘ
ta'enai	cmavo-compound			   	TAhE*      	： 相制詞（時間・間隔）；	・読み方： タヘナイ
tai	cmavo			   	BAI      	～みたいに／～風に ： tamsmi 法制詞, x_1	・読み方： タイ
ta'i	cmavo			   	BAI      	～を方法／手段として／～式に ： tadji 法制詞, x_1	・読み方： タヒ
tai'i	experimental cmavo			   	COI2      	擬態語標識 ：心態詞； cmevla の左に付いてこれを擬態語にする	「loi cmana snime tai'i .kirakiran. cu jai gusni fi'o jikseicni lo litru／山の雪がきら／＼光つて旅人を寂しがらせる」（山頭火『行乞記（二）』） ・読み方： タイヒ
ta'o	cmavo			   	UI3      	逸脱 （ ta'o 逸脱 - ta'onai 回帰）	心態詞（談話系）；「ところで」「la .lojban. co'a se finti de'i li pasobize pi'e pi'e .i ta'o li pasobize cu cinono moi mulna'usle／ロジバンの開発は1987年に始まった。ところで1987は300番目の素数だ」 ・読み方： タホ  ・関連語： {denpa}, {cneterta'a}
ta'onai	cmavo-compound			   	UI*3      	回帰 （ ta'o 逸脱 - ta'onai 回帰）	心態詞（談話系）；「本題に戻りますが」「ta'onai lo la .lojban. gerna poi se favytcini li papino pu'i se finti de'i li pasosoze pi'e pi'e／閑話休題、ロジバン文法ver.1.0は1997年に完成した」 ・読み方： タホナイ
tau	cmavo			   	LAU      	次字詞変換 ： 次の字詞１つ分の大小を変換する	・読み方： タウ
ta'u	cmavo			   	UI3a      	tanru 展開 （ ta'u tanru 展開 - ta'unai tanru 造成）	心態詞（談話系）； tanru を関係節などを使った長い表現に展開して、意味を説明していることを表す「lumci cinza .i ta'u cinza be fi lo ba'o se lumci／洗濯バサミ、つまり、洗われたものを挟むもの」 ・読み方： タフ  ・関連語： {tanru}
ta'unai	cmavo-compound			   	UI*3a      	tanru 造成 （ ta'u tanru 展開 - ta'unai tanru 造成）	心態詞（談話系）； 関係節などを使った長い表現からtanru を造っていることを表す「cinza be fi lo ba'o se lumci .i ta'unai lumci cinza／洗われたものを挟むもの、つまり、洗濯バサミ」 ・読み方： タフナイ
te	cmavo   	-ter-		   	SE      	x_1-x_3 転換 ： selbri の左に付いてPSの x_1 と x_3 を転換する	・大意： x_1-x_3 転換 ・読み方： テ
te'a	cmavo			   	VUhU2      	累乗 ： 数理演算子（2変数）； a の b 乗	・読み方： テハ
te'ai	experimental cmavo			   	XI      	単位の指数部造成 ： 単位を表す tanru 内で、数量詞の左に付いて、指数部を作る； pi'ai とともに使う	「x_1 pi'ai mitre snidu te'ai ni'u pa x_2 x_3 ／ x_1 の速度は x_2 m/s （基準 x_3 による）」 ・読み方： テハイ  ・関連語： {te'a}, {pi'ai}
tebau	cmavo-compound			   	BAI*      	～を表す言語として ： bangu 法制詞, x_3	・読み方： テバウ
tebe'i	cmavo-compound			   	BAI*      	～に送って ： benji 法制詞, x_3	・読み方： テベヒ
teca'i	cmavo-compound			   	BAI*      	～を権力の根源として ： catni 法制詞, x_3	・読み方： テシャヒ
teci'e	cmavo-compound			   	BAI*      	～を（体系／システムの）構成要素として ： ciste 法制詞, x_3	・読み方： テシヘ
teci'o	cmavo-compound			   	BAI*      	～について感じて／～にたいする感情として ： cinmo 法制詞, x_3	・読み方： テシホ
tecu'u	cmavo-compound			   	BAI*      	～に言って／～を聞き手／読み手として ： cusku 法制詞, x_3	・読み方： テシュフ
tede'i	cmavo-compound			   	BAI*      	～（場所）における日として ： detri 法制詞, x_3	・読み方： テデヒ
tedi'o	cmavo-compound			   	BAI*      	～（範囲）内の局所として ： diklo 法制詞, x_3	・読み方： テディホ
tedu'i	cmavo-compound			   	BAI*      	～（性質）に関して同等で ： dunli 法制詞, x_3	・読み方： テドゥヒ
tedu'o	cmavo-compound			   	BAI*      	～について知って ： djuno 法制詞, x_3	・読み方： テドゥホ
te'e	cmavo			   	FAhA3      	～の境界で／～に際して ： 間制詞（空間・方向）；	・読み方： テヘ
tefi'e	cmavo-compound			   	BAI*      	～（目的）のために創って／著して ： finti 法制詞, x_3	・読み方： テフィヘ
tega'a	cmavo-compound			   	BAI*      	～を観察方法として ： zgana 法制詞, x_3	・読み方： テガハ
tei	cmavo			   	TEI      	複合字詞 ： 字詞のまとまりの範囲を開く	・読み方： テイ
te'i'o	experimental cmavo			   	UI3b      	特定的 （te'i'o 特定的 - te'i'onai 不特定的）	心態詞（談話系）直前の語／構造（普通は項）に対して、その指示対象が話者にとって特定的であるという態度を表す。 ・関連語：{steci},{sanji}
teja'i	cmavo-compound			   	BAI*      	～における規則／原理として ： javni 法制詞, x_3	・読み方： テジャヒ
teji'e	cmavo-compound			   	BAI*      	～（性質）に関する限度として ： jimte 法制詞, x_3	・読み方： テジヘ
teji'o	cmavo-compound			   	BAI*      	～（事／動作）における制御として ： jitro 法制詞, x_3	・読み方： テジホ
teka'a	cmavo-compound			   	BAI*      	～を出発地として／～発で／～から来て ： klama 法制詞, x_3	・読み方： テカハ
teka'i	cmavo-compound			   	BAI*      	～（役割）に関して代表して ： krati 法制詞, x_2	・読み方： テカヒ
teki'i	cmavo-compound			   	BAI*      	～を同類関係として ： ckini 法制詞, x_3	・読み方： テキヒ
tekoi	cmavo-compound			   	BAI*      	～への境界として／～が向こう側で ： korbi 法制詞, x_3	・読み方： テコイ
tela'u	cmavo-compound			   	BAI*      	～を（度量の）単位として ： klani 法制詞, x_3	・読み方： テルァフ
tele'a	cmavo-compound			   	BAI*      	～をカテゴリー特性として ： klesi 法制詞, x_3	・読み方： テルェハ
teli'e	cmavo-compound			   	BAI*      	～を前後関係の順序として ： lidne 法制詞, x_3	・読み方： テルィヘ
tema'e	cmavo-compound			   	BAI*      	～を（物質の）形状として ： marji 法制詞, x_3	・読み方： テマヘ
tema'i	cmavo-compound			   	BAI*      	～を標準／照合枠の原理として ： manri 法制詞, x_3	・読み方： テマヒ
temau	cmavo-compound			   	BAI*      	～（性質）に関してより多くて ： zmadu 法制詞, x_3	・読み方： テマウ
teme'a	cmavo-compound			   	BAI*      	～（性質）に関してより少なくて ： mleca 法制詞, x_3	・読み方： テメハ
teme'e	cmavo-compound			   	BAI*      	～が呼ぶ名として／～に名付けられて ： cmene 法制詞, x_3	・読み方： テメヘ
temu'i	cmavo-compound			   	BAI*      	～（者）を動機づけて ： mukti 法制詞, x_3	・読み方： テムヒ
temu'u	cmavo-compound			   	BAI*      	～（集合）における例として ： mupli 法制詞, x_3	・読み方： テムフ
teni'i	cmavo-compound			   	BAI*      	～を論理体系として ： nibli 法制詞, x_3	・読み方： テニヒ
te'o	cmavo			   	PA5      	ネイピア数（自然対数の底） ： 数量詞；	・読み方： テホ
tepa'a	cmavo-compound			   	BAI*      	～（性質）を相異点として ： panra 法制詞, x_3	・読み方： テパハ
tepi'o	cmavo-compound			   	BAI*      	～を用途として ： pilno 法制詞, x_3	・読み方： テピホ
tepo'i	cmavo-compound			   	BAI*      	～（要素）の配列として ： porsi 法制詞, x_3	・読み方： テポヒ
tepu'a	cmavo-compound			   	BAI*      	～（条件）で（何かが）楽しくて ： pluka 法制詞, x_3	・読み方： テプハ
tepu'e	cmavo-compound			   	BAI*      	～を出力として ： pruce 法制詞, x_3	・読み方： テプヘ
terai	cmavo-compound			   	BAI*      	～（極性／指向性）に関して最上で ： traji 法制詞, x_3	・読み方： テライ
teri'a	cmavo-compound			   	BAI*      	～（条件）で起因して ： rinka 法制詞, x_2	・読み方： テリハ
tesau	cmavo-compound			   	BAI*      	～（条件）において必須で ： sarcu 法制詞, x_3	・読み方： テサウ
tesi'u	cmavo-compound			   	BAI*      	～において助けて／補助して ： sidju 法制詞, x_3	・読み方： テスィフ
tetai	cmavo-compound			   	BAI*      	～を類似点として ： tamsmi 法制詞, x_3	・読み方： テタイ
teta'i	cmavo-compound			   	BAI*      	～（条件）における方法／方式／手段として ： tadji 法制詞, x_3	・読み方： テタヒ
teti'i	cmavo-compound			   	BAI*      	～に示唆して／勧めて ： stidi 法制詞, x_3	・読み方： テティヒ
teti'u	cmavo-compound			   	BAI*      	～（日）における時刻として ： tcika 法制詞, x_3	・読み方： テティフ
te'u	cmavo			   	TEhU      	MEX変換終了 ： 境界詞； 非MEXからMEXへの変換の範囲を閉じる	・読み方： テフ
teva'u	cmavo-compound			   	BAI*      	～を価値基準／価値観として ： xamgu 法制詞, x_3	・読み方： テヴァフ
tezu'e	cmavo-compound			   	BAI*      	～を目的／目標として ： zukte 法制詞, x_3	・読み方： デズヘ
ti	cmavo   	-tif-		   	KOhA6      	これ（近くにあるもの） ： 代詞（sumti）；	話者の近くにある対象（物／事）を指示する。・大意： これ ・読み方： ティ ・関連語：{ta}, {tu}
ti'a	cmavo			   	FAhA2      	～の後方に／後側で ： 間制詞（空間・方向）；	・読み方： ティハ
ti'e	cmavo			   	UI2      	伝聞	心態詞（認識系）；「～らしいよ」 ・読み方： ティヘ  ・関連語： {tirna}, {sitna}, {tcidu}
ti'i	cmavo			   	BAI      	～が示唆して／勧めて ： stidi 法制詞, x_1	・読み方： ティヒ
ti'o	cmavo			   	SEI      	MEX優先 ： MEX（数式）の優先性を示す	・読み方： ティホ
ti'u	cmavo			   	BAI      	～を時刻として ： tcika 法制詞, x_1	・読み方： ティフ
to	cmavo			   	TO      	括弧開始 ： 左括弧 （ を表す； 括弧の内容は文法的なロジバン文でなければならない	・読み方： ト
to'a	cmavo			   	BY1      	小文字変換 ： 字詞	・読み方： トハ
to'e	cmavo   	-tol-   	-to'e-	   	NAhE      	段階反対 ： 段階詞； je'a の反対； 対義語を造る	・大意： 段階： 反対 ・読み方： トヘ ・関連語： {dukti}, {natfe}, {na'e}, {no'e}, {je'a}
toi	cmavo			   	TOI      	括弧終了 ： 境界詞； 右括弧 ） を表す；	・読み方： トイ
to'i	cmavo			   	TO      	編集括弧開始 ： 編集上の括弧を表す； 括弧内のものは話者による言葉とは限らない； しばしば sa'a と併用する	・読み方： トヒ
to'o	cmavo			   	FAhA4      	～から離れて／～の向こうで ： 間制詞（空間・方向）；	・読み方： トホ
to'u	cmavo			   	UI3      	手短 （ to'u 手短 - to'unai 全容）	心態詞（談話系）； 話を手短に済ませる； 長さが焦点となっており、内容が集約されているとは限らず、話の一部だけを出して残りを伏せるという場合も「to'u mi zo'u tamca／手短に言えば、私はトマト」 ・読み方： トフ  ・関連語： {tordu}, {clani}, {tcidu}
to'unai	cmavo-compound			   	UI*3      	全容 （ to'u 手短 - to'unai 全容）	心態詞（談話系）； 事柄の全容を話す「to'unai mi cpedu lo nu do vecnu lo cidjrspageti be fi'o se jukpa lo tamca mi kei do／略さずに言えば、私はトマトを使ったスパゲティ料理をあなたに注文します」 ・読み方： トフナイ
tu	cmavo   	-tuf-		   	KOhA6      	あれ（遠くのもの） ： 代詞（sumti）；	話者と聴者から離れたところにある対象（物／事）を指示する。・大意： あれ ・読み方： トゥ ・関連語：{ti}, {tu}
tu'a	cmavo			   	LAhE      	抽出 sumti ： sumti の左に付いて、それが不特定の bridi から抽出したものであることを示す； lo nu/su'u [sumti] co'e に相当； 抽象的な sumti を要する terbri があるとき、 lo nu/su'u ... の代わりに使える（mi troci lo nu kalri lo vorme → mi troci tu'a lo vorme）	・読み方： トゥハ
tu'e	cmavo			   	TUhE      	発話グループ開始 ： 複数の文／発話のグループ範囲の始まりを示す	・読み方： トゥヘ
tu'i	cmavo			   	BAI      	～を場所として ： stuzi 法制詞, x_1	・読み方： トゥヒ
tu'o	cmavo			   	PA5      	ヌル・オペランド ： 数量詞；	・読み方： トゥホ
tu'u	cmavo			   	TUhU      	発話グループ終了 ： 境界詞； TUhE で開かれた発話グループ範囲を閉じる	・読み方： トゥフ
ty	cmavo			   	BY2      	t ： 字詞；	・読み方： テァ
u	cmavo			   	A      	sumti ～にかかわらず ： 接続詞（論理・後置・sumti）； 前部は真、後部がどうかにかかわらず	・読み方： ウ
ua	cmavo			   	UI1      	発見 （ ua 発見 - uanai 模索）	心態詞； 新しく知った／見つけた／気づいた気持 「.ua ba'e ta do mensi／へえ、あれがお姉さん／妹さんか」・読み方： ワ ・関連語： {facki}
u'a	cmavo			   	UI1      	獲得 （ u'a 獲得 - u'anai 損失）	心態詞； 有益／利用価値のあるそれを手に入れた気持「やった」「.u'a la'e di'u je'urja'o lo du'u mi pu drani／やった！それは私が正しかったという証拠だ」 ・読み方： ウハ  ・関連語： {jinga}, {selne'u}, {prali}
uanai	cmavo-compound			   	UI*1      	模索 （ ua 発見 - uanai 模索）	心態詞； 探している気持； 物だけでなく事や性質についても「.uanai ko'o pu skudji ma mi／彼女は僕に何を言いたかったのだろう」「.ua nai la'e di'u vajni fi ma／いったいそれがどう重要なんだろう？」 ・読み方： ワナイ ・関連語： {cfipu}, {sisku}, {ki'a}
u'anai	cmavo-compound			   	UI*1      	損失 （ u'a 獲得 - u'anai 損失）	心態詞； それを失って損を感じる気持 「.u'a nai la rover pu xamgu gerku／嗚呼、ロベールは良い犬だったのに」  ・読み方： ウハナイ ・関連語： {cirko}
ubu	bu-letteral			   	BY*      	u ： 字詞	・読み方： ウブ
ue	cmavo			   	UI1      	驚嘆 （ ue 驚嘆 - uecu'i 無動揺 - uenai 覚悟）	心態詞； 予期していなかったそれに驚く気持 「.ue ta lenku／ひぃっ、冷たい！」 ・読み方： ウェ ・関連語： {selspaji}
u'e	cmavo			   	UI1      	畏敬 （ u'e 畏敬 - u'enai 平凡）	心態詞； 崇高／壮大なそれにたいする畏れの気持 「.u'e le va gerku cu mutce stati／すごい、あの犬ほんとに才能あるな」 ・読み方： ウヘ  ・関連語： {selmanci}
uecu'i	cmavo-compound			   	UI*1      	無動揺 （ ue 驚嘆 - uecu'i 無動揺 - uenai 覚悟）	心態詞； それは意外だったがとくに驚かない気持 「.ue cu'i ma cnino／で、どこが新しいの？」 ・読み方： ウェシュヒ ・関連語： {norselspaji}
uenai	cmavo-compound			   	UI*1      	覚悟 （ ue 驚嘆 - uecu'i 無動揺 - uenai 覚悟）	心態詞； それを予期／覚悟していたのでまったく驚かない気持 「.ue nai ro da pu prane／予想通り、全て完璧だ」 ・読み方： ウェナイ ・関連語： {tolselspaji}
u'enai	cmavo-compound			   	UI*1      	平凡 （ u'e 畏敬 - u'enai 平凡）	心態詞； それを普通／平凡なものと感じる気持 「.u'e nai xu ta xagrai lo se kakne be do／ふーん、全力でその程度？」 ・読み方： ウヘナイ ・関連語： {tolselmanci}, {fadni}
ui	cmavo			   	UI1      	幸福 （ ui 幸福 - uinai 悲嘆）	心態詞； それについて嬉しさや幸せを感じる気持 「.ui mi co'a se panzi／パパに／ママになりました！」 ・読み方： ウィ ・関連語： {gleki}
u'i	cmavo			   	UI1      	愉快 （ u'i 愉快 - u'inai 退屈）	心態詞； それをおもしろく感じて愉しさを覚える気持 「u'i tu zerle'a lo dakli be loi ckopalku .i ku'i lo jdini cu nenri ti／はは、あいつオムツのカバンを盗んで行った、金はこっちに入ってるのに」 ・読み方： ウヒ  ・関連語： {selzdi}, {selxajmi}, {xalbo}
uinai	cmavo-compound			   	UI*1      	悲嘆 （ ui 幸福 - uinai 悲嘆）	心態詞； それについて悲しむ気持； 哀れみの {uu} や後悔の {u'u} と異なる 「.ui nai ti pu melbi jarbu／ここは素敵な裏山だったのになあ」  ・読み方： ウィナイ ・関連語： {badri}
u'inai	cmavo-compound			   	UI*1      	退屈 （ u'i 愉快 - u'inai 退屈）	心態詞； それをつまらなく感じて退屈を覚える気持 「.u'i nai le xamtigni ro roi tigni lo dunli／このコメディアン同じことばかり演ってるな」 ・読み方： ウヒナイ ・関連語： {tolselzdi}
uo	cmavo			   	UI1      	完全 （ uo 完全 - uonai 不完全）	心態詞； それについて完全／完了を感じる気持； 終わった、出来た、十分であることにたいする気持「ba'o bevri lo velmikce .uo／薬を持ってきたからもう大丈夫」 ・読み方： ウォ ・関連語： {mulno}, {mansa}, {fanmo}, {snada}
u'o	cmavo			   	UI1      	勇気 （ u'o 勇気 - u'ocu'i 内気 - u'onai 臆病）	心態詞； それについて勇む、果敢となる気持 「.u'o mi do pu'o nurgau／よし、今すぐ助けに行くよ」・読み方： ウホ  ・関連語： {virnu}
u'ocu'i	cmavo-compound			   	UI*1      	内気 （ u'o 勇気 - u'ocu'i 内気 - u'onai 臆病）	心態詞； それについて果敢となれず、おそるおそるとしか取り組めない／対応できない気持 「.u'o cu'i xu mi zifre lo nu stali／えーっと、このままここにいて良いのかな？」  ・読み方： ウホシュヒ ・関連語： {jikterpa}
uonai	cmavo-compound			   	UI*1      	不完全 （ uo 完全 - uonai 不完全）	心態詞； それが不完全／不十分／未了であると感じる気持 「.uo nai do tu na ru'e darxi／おしい、もう少しであれを打つところだった」 ・読み方： ウォナイ ・関連語： {fliba}
u'onai	cmavo-compound			   	UI*1      	臆病 （ u'o 勇気 - u'ocu'i 内気 - u'onai 臆病）	心態詞； それに臆してまったく手が出せない気持 「.u'onai mi na baupli fi lo spebi'o ritli／結婚式のスピーチなんてできないよ」「.u'o nai mi na nerkla ta／怖いからそこには入らない」  ・読み方： ウホナイ ・関連語： {tolvri}
uu	cmavo			   	UI1      	哀憫 （ uu 哀憫 - uunai 酷虐）	心態詞； 苦境にあるそれがかわいそうで哀しむ気持； 自分以外の物／者にたいする憐れみの気持 「.uu mi ba dunda lo boxfo do／かわいそうに、毛布をあげましょう」 ・読み方： ウゥ ・関連語： {kecti}
u'u	cmavo			   	UI1      	後悔 （ u'u 後悔 - u'ucu'i 潔白 - u'unai 悪意）	心態詞； 既に起きた／行為したそれを悔やみ、取り消したいと思う気持 「.u'u mi pu na jundi／申し訳ない、不注意でした」 ・読み方： ウフ  ・関連語： {xenru}, {zugycni}
u'ucu'i	cmavo-compound			   	UI*1      	潔白 （ u'u 後悔 - u'ucu'i 潔白 - u'unai 悪意）	心態詞； 既成のそれについて、自分は潔白だと思う気持 「私のせいではない」「.u'u cu'i mi zukte no da／無実だ、私は何もしていない」 ・読み方： ウフシュヒ  ・関連語： {nalselra'u}
uunai	cmavo-compound			   	UI*1      	酷虐 （ uu 哀憫 - uunai 酷虐）	心態詞； 苦境にあるそれを憐れまずに酷く当たって虐げる気持「ざまあみろ」「.uu nai mi ba ponse lo do pruxi／うひひ、お前の魂は私のものだ」  ・読み方： ウゥナイ ・関連語： {kusru}
u'unai	cmavo-compound			   	UI*1      	悪意 （ u'u 後悔 - u'ucu'i 潔白 - u'unai 悪意）	心態詞； 既成のそれが悪意からであり、後ろめたさや罪悪感をまったく覚えない気持 「だからどうした」「.u'u nai mi pu zi stapa le do jamfu .i do ba zukte ma／今お前の足を踏んでやったぞ、さあどうする」 ・読み方： ウフナイ  ・関連語： {talsa}
va	cmavo   	-vaz-		   	VA      	～のそこに ： 間制詞（空間・程度・中）	・大意： テンス： そこに ・読み方： ヴァ
va'a	cmavo			   	VUhU3      	加法逆元 ： 数理演算子（単一項）； [- a]	・読み方： ヴァハ
va'e	cmavo			   	MOI      	段階selbri ： 数詞を段階selbriに変換する； x_1 は段階 x_2 上の段階位置 n にある	・読み方： ヴァヘ ・関連語： {ckilu}
vai	cmavo			   	PA2      	16進法F/10進法15 ： 数量詞；	・読み方： ヴァイ
