a	cmavo   \nA      \nlogical connective: sumti afterthought or.
predicate var 1	broda
predicate var 2	brode
predicate var 3	brodi
predicate var 4	brodo
predicate var 5	brodu
Israel	brogu'e
synagogue	bromalsi
bromeliad	bromeli
Hebrew : person	bropre
Israelite	bropre
Jew	bropre
temple : judaism	broralmalsi
broccoli	brukobli
brush : clean with brush	brulu'i
sweep : clean with brush	brulu'i
brother	bruna
Brunei	bruNAIS
Brunelleschian pattern : zigzag design	bruneleskia
herringbone : zigzag pattern	bruneleskia
spina di pesce : zigzag pattern	bruneleskia
apply : brush	brupu'i
Brooklyn	bryklyn
word to lerfu	bu
some selbri 1	bu'a
evil laughter	bu'a'a
higher order : predicate logic	bu'ai
third order : predicate logic	bu'ai
Buddhist	budjo
some selbri 2	bu'e
Buenos Aires	buenosaires
some selbri 3	bu'i
bu letteral	bu'ivla_1
Buddha's birthday	bujyjbenunsla
Vesak	bujyjbenunsla
Wesak	bujyjbenunsla
thread : for fabric	bukcilta
parachute : fall with parachute	bukfa'u
tear : defect in cloth	bukfe'a
carpet	buklolgai
rug	buklolgai
tent : shelter	bukmra
drape : American English	bukmu'a
cloth	bukpu
tent : building	bukydi'u
paraglide	bukyvoi
fog	bumru
bro	bun
Brother : family relation	bun
pound	bunda
brown	bunre
brother's spouse	bunspe
start emotion	bu'o
continue emotion	bu'ocu'i
boo	bu'oi
end emotion	bu'onai
brush : tool using bristles	burcu
boogaloo	burgalu
burger : hamburger	burgere
embarrassed	burna
brown bread	burnanba
embarrass	burnygau
embarrassed : by somebody	burnygau_2
put off : embarrass	burnygau
drum brush	burseldamri
brown : abstract	burzilska
at : in a particular place	bu'u
coincident with	bu'u
awning	bu'udru
tent : dwelling	bu'uzda
tent : cloth shelter	bu'uzda
b	by
as : at the same instant that	ca
during	ca
when : at the same instant that	ca
actually is	ca'a
off : in a state of non-operation	ca'arcando
turned off : in a state of non-operation	ca'arcando
unaided : without equipment	ca'arcau
unplugged : without equipment	ca'arcau
has been	caba'o
far away in time	cabda'o
same day	cabdei
today	cabdei
this morning : time	cabdeicerni
nearby in time	cabjbi
current week	cabjeftu
this week	cabjeftu
current month	cabma'i
concurrent : simultaneous	cabna
current : present	cabna
now	cabna
present : pertaining to the current time	cabna
simultaneous	cabna
current year	cabna'a
extinct : not extant	cabnalza'i
apparatus	cabra
barista : operates espresso machine	cabrspreso_4
espresso machine	cabrspreso
modern	cabrxe
current evening : time	cabvanci
this evening : time	cabvanci
modern era	cabycedra
tonight	cabycte
live : experienced as it happens	cabyfau
duration : temporal	cabyku'e
time : duration	cabyku'e
currently is	caca'a
is now	caca'o
custom : traditional practice	cacklu
practice : custom	cacklu
tradition : traditional practice	cacklu
traditional culture	cacklu_2
traditional practice	cacklu_1
hour	cacra
event/state of the minute of the hour	cacryme'utcika_2
minute notation of the hour	cacryme'utcika_1
minute of the hour	cacryme'utcika
system defining the minute of the hour	cacryme'utcika_3
miles per hour	cacryminli
mph	cacryminli
angle : in hours	cacryra'o_1
hour : 24 in a circle	cacryra'o
convention : rule	cacyjva
customary expression	cacysku_2
customary expression audience	cacysku_3
customary expression conditions	cacysku_5
customary expression medium	cacysku_4
customary expression speaker	cacysku_1
people who say things habitually; [people who say proverbs, (though that's more like se tcacyselsku)]	cacysku
feel schadenfreude	cadnfroide
lurker : a passive watcher	cadycta_1
lurks : passively watches	cadycta
idly play	cadykei
cease and rest	cadysti
walk	cadzu
hereby	ca'e
I define	ca'e
if you say so	ca'edai
define : something to be true	ca'engau
wind : moving force	ca'erbi'e
barrow : wheelbarrow	ca'ercarce
barrow : whellbarrow	ca'ercarce
pushcart	ca'ercarce
wheelbarrow	ca'ercarce
push : move by pushing	ca'ermuvgau
shove : move by pushing	ca'ermuvgau
piston : engine part	ca'erslanu
poppet valve	ca'erslanu
liquid at room temperature	caflitki
frequent : occurring often	cafne
often	cafne
mode : statistics	cafraina'o
FAQ	cafrei
frequently-asked question	cafrei
solid at room temperature	cafsligu
gas at room temperature	cafygapci
barn	cagdaidi'u_1
item(s) stored in barn	cagdaidi'u_2
forage	cagdalsasfoi_2
pasture	cagdalsasfoi
farm animal	cagda'u
wound : physical injury	cagna
bandage : wound cover	cagnybo'o
rural/pastoral community	cagyce'u
agricultural industry	cagygundi
agricultural sector	cagygundi
agriculture : as an industry category	cagygundi
farmer	cagypre_1
farmer's market	cagzai
greenmarket	cagzai
intense emotion	cai
by authority of	ca'i
colossal	caibra_1
hugeness observer	caibra_3
passion : emotion	caicni
passionate : emotional	caicni_1
demand : ask for peremptorily	ca'icpe
require : ask for peremptorily	ca'icpe
stare	caicta
crave	caidji
strong scalar intensifier	cai'e
charge : amount of money levied for a service	ca'irdi'a
judge : official	ca'irpai
referee	ca'irpai
official : approved by authority	ca'irselzau
authoritative document	ca'irvei
certificate : official document	ca'irvei
desperate	caitcu
blinding	caivru
roaring	caivru
during and after	cajeba
distribution industry	cajgundi
retail/wholesale sector	cajgundi
hostage	cajypinfu
barter : mutually	cajysi'u
exchange : mutually	cajysi'u
trade : mutually	cajysi'u
beetle	cakcinki
clam	cakcurnu
kind of mollusk	cakcurnu_2
mollusk	cakcurnu_1
mussel	cakcurnu
snail	cakcurnu
malacology	cakcurske
chocolate	cakla
chocolate mousse	caklyfomjdu
chocolate pudding	caklyjdu
drinking chocolate	caklyladru
chocolate liquor	caklylitki
cocoa butter	caklymatne
cacao : powder	caklypu'o
cocoa : powder	caklypu'o
cacao bean	caklytsi
egg : food	caksova_1
eggshell : part of the egg	caksova_4
egg white : food	caksova_3
egg yolk : food	caksova_2
mother of pearl	cakyjmepi'a
crustacean	cakyjukni
armored combat vehicle	cakykarce
tank : armored combat vehicle	cakykarce
trooper : soldier in tank	cakykarce_2
tortoise	cakyrespa
turtle	cakyrespa
calabash	cakyzme
cubic decimeter	caldectre
cubic decimetre	caldectre
space-time	caljvetei_1
shell	calku
spacelike-separation	calse
voxel	calsle
shape : geometric	caltai
geometric object	caltaicmaci_2
geometry	caltaicmaci_1
shaped like : geometrically / physically	caltaismi
cubic meter	caltre
cubic metre	caltre
when?	ca ma
demand : a need	camcpe_1
demand : request forcefully	camcpe
vast : subjectively very wide	camganra_1
vastness observer	camganra_3
vastness width	camganra_2
happy : excited	camgei
intensely happy	camgei
hype : promote	camgubri'a
rlpowell	camgusmis
Robin Lee Powell	camgusmis
howl : an expression	camki'a
howl : sound	camki'a
howl : scream	camki'a
roar : sound	camki'a
roar : an expression	camki'a
scream : an expression	camki'a
scream : sound	camki'a
scream	camki'a
champagne : with AOC designation	campania
champagne : INAO aprroved	campania
aficionado	camselci'i
fan : person	camselci'i
fan club	camselci'igri
toucan	camskamolcpi
toucanet	camskamolcpi
feel horror	camte'a
scarlet : color	camxu'e
vanish	canci
silicium	cancmu
silicon	cancmu
disappear desire : desire to disappear	cancydji
vanish desire : desire to vanish	cancydji
flood bag	candakli
sandbag : bag filled with sand	candakli_1
idle	cando
farm	cange
commodity : item	canja_2
exchange	canja
expense	canja_3
trade : give in exchange for	canja
trader	canja_1
window	canko
space	canlu
space : character	canlu bu_1
shovel	canpa
sand	canre
sandstone : type of rock; material	canro'i_1
blackmail	cantaje
gut	canti
intestines	canti
desert : sand terrain	cantu'a
disembowel	cantybargau
draw : eviscerate	cantybargau
drawn : disemboweled	cantybargau_2
eviscerate	cantybargau
Shanghai	canxais
as : while	ca'o
continuative	ca'o
while : during the same time that	ca'o
feel insecurity	capcni
adventurer	capli'u
threaten	capnu'e
growl : make threatening noise	capsidba'u
growl : make threatening utterance	capsidba'u
growl : make threatening linguistic utterance	capsidba'u
roar : make threatening noise	capsidba'u
roar : make threatening utternace	capsidba'u
roar : make threatening linguistic utternace	capsidba'u
snarl : make threatening utterance	capsidba'u
snarl : make threatening linguistic utterance	capsidba'u
snarl : make threatening noise	capsidba'u
menace : threaten	capti'i
is going to	capu'o
careful	capyju'i
cautious	capyju'i
tornado	carbi'e
waterspout	carbi'e
cart	carce
drill : rotated, bladed digging tool	carcna_1
reel in	carcpu
turn to face	carcra
turn towards : turn to face	carcra
cartload	carcylai
wagonload	carcylai
shrew : true; soricomorph	carfu
turn : make rotate	cargau
turn : transitive	cargau
rotary saw	carka'a
saw : rotating blade	carka'a_1
whirligig	carlimcinki
whirligig : beetle	carlimcinki
intense	carmi
turn : movement	carna
helicopter	carna'ivinji_1
flywheel	carnensroxi'u
Rot-13	carpacib
chart	cartu
rain	carvi
cycle	carvrama'e
pedal vehicle	carvrama'e
bike trailer	carvrama'ecarce
cycle trailer	carvrama'ecarce
rainforest	carvyrictu'a
converse : talk about	casnu
discuss	casnu
push : shove	catke
shove	catke
slider : graphical user interface element	catke zei uidje_1
track bar : graphical user interface element	catke zei uidje
Chastelperronian : paleolithic industry (archaeological sense)	catlpero
Chatelperronian : paleolithic industry (archaeological sense)	catlpero
Châtelperronian : paleolithic industry (archaeological sense)	catlpero
look	catlu
authority	catni
officer : one who has a position of authority in a hierarchical organization	catni_1
metroploitan : bishop	catnrpepiskopo
kill	catra
kill : agentive	catra
murder : kill	catra
condemn to death	catrymi'e
order execution	catrymi'e
sentence to death	catrymi'e
hitman	catryseljibri
killer : professional	catryseljibri
killer	catryseljibri
lacked by	cau
in front of	ca'u
elliptical truth value	cau'a
maybe : elliptical truth value	cau'a
miss : feel the lack of	caucni_1
missed : causing emotion through its absence	caucni_2
miss : lacking	caudri
maybe : elliptical scalar assertion	cau'e
maybe : elliptical affirmative	cau'i
Seanchan : culture: Wheel of Time (Robert Jordan)	cauncani
elliptical scalar assertion	cau'o'e
deprive	caurgau
shawarma	caurma
rainmaking : ritual	cavgauri'i
shower : wash by showering	cavlu'i
rain forest	cavricfoi
pour : fall	cavyfle
mackintosh : raincoat	cavykosta
raincoat	cavykosta
shower : take a shower	cavysezlu'i
chess	caxmati
shallow	caxno
actualize	cazgau
right now	cazi
nowadays	cazu
actual : existing in act or reality	cazyfau
decayed	cazyfusra
rotten : decayed	cazyfusra
in a set with	ce
font shift	ce'a
end lambda prenex	ce'ai
font	ce'a zei ciste
launcher	cecla
community	cecmu
era	cedra
contemporary	cedrymi'u
afterthought termset	ce'e
pro-bridi assign	cei
percent	ce'i
define selbri with sentence	cei'e
universal predicate : pro-bridi	cei'i
believed god	ceikri_2
theist	ceikri_1
avatar : of god	ceirka'i
incarnation : of god	ceirka'i
agnostic : non deity-knowledge	ceirnalju'o
Heaven : home of god(s)	ceirselxa'u
Heaven, house of the god	ceirselxa'u
Olymp : home of gods	ceirselxa'u
agnostic : based on doubt	ceirsenpi
agnostic	ceirsenpi
deity-doubter : based on doubt	ceirsenpi
theology	ceiske
Heaven	ceizda
golf shirt	cekrpolo
polo shirt	cekrpolo
tennis shirt	cekrpolo
tee : T-shirt	cekrti
tee : clothing	cekrti
tee-shirt	cekrti
T-shirt	cekrti_1
shekel	cektola
tola	cektola
arrow	celga'a
quarrel : arrow	celga'a
shoot : attack	celgunta
shooter : attacker	celgunta_1
Sagittarius : constellation/astrology	celguntas
society : community system	cemci'e
tribal	cemlanzu
tribe	cemlanzu
of community : x is of community y	cemra'a
vary	cenba
percentage	cenlai
centiliter	cenlitce
centilitre	cenlitce
centimiliday : hundred-thousandth of a day unit	cenmildje
metric second : hundred-thousandth of a day unit	cenmildje
second : metric	cenmildje
kidney	cenrini
holy	censa
cornflower : genus Centaurea	centaureia
center : midpoint	centero_1
.01	centi
centimeter	centre_1
centrifuge	centrifuga
centiday : hundredth of a day unit	cenydje
in a sequence with	ce'o
argument list separator	ce'oi
Hell : New Testament (OT)	ce'ol
Sheol : New Testament	ce'ol
heir	cerda
dawn : morning twilight	cermurse
matutinal	cermursynalcando
morning	cerni
breakfast : meal	cersai
breakfast food	cersai_2
expert	certu
sanctify	cesri'a
worship	cesri'isi'a
holy book	cesycku
koran : religious book	cesycku
Holy Roman Empire	cesyjvedotla'okemsorgugject_1
hieralogy	cesyske
holy site	cesystu
holy : virtuous	cesyvu'e
saintly	cesyvu'e
lambda	ce'u
Acheulean : paleolithic industry (archaeological sense)	ce'ulno
God	cev
god	cevni
future : non-aorist	cfabalvi
noitce : take notice of	cfaga'e
notice : take notice of	cfaga'e
initiate : cause to begin	cfagau
initiator	cfagau_1
start : cause to begin	cfagau
to initiate something	cfagau
phase : math, wave physics, oscillation	cfale
preliminary	cfapru
preparation	cfapru
happen : occur	cfari
initiate : non-agentive	cfari
commence : by following established proceedings	cfari'i
start : by following established proceedings	cfari'i
realize : become aware of	cfasanji
power up : to cause to start operating	cfasazri
start : to cause to start operating	cfasazri
turn on : to cause to start operating	cfasazri
foreword	cfaselsku
introduction	cfaselsku
preamble	cfaselsku
sit down	cfatse
sit down : begin sitting	cfatse
criticize : find flaw	cfifa'i
fiction	cfika
debug : Searching and fixing flaws	cfikalte
flaw	cfila
wedge : shape or tool	cfine
wedge : tool	cfinytci_1
crowbar	cfinyvra
nutpick	cfinyvra
confusing	cfipu
bug list : list of discovered flaws	cfiste
3	ci
mark experimental utterance	ci'ai
natural number interval	ci'ai'u
n-set	ci'ai'u
writing desk	ci'ajbu
blank : containing no writing	ci'anti
spherical harmonics	cia'o'e
author	ci'arfi'i
writer : author	ci'arfi'i
secretary : office aide	ci'arse'u_1
typist	ci'arse'u
express in writing	ci'asku
pride about inventing an attitudinal	ci'au'u'au'i
calendar defining Wednesday : a full day in duration	cibdei_3
wednesday	cibdei
wednesday : a full day in duration	cibdei
Wednesday : a full day in duration	cibdei_1
week including Wednesday : a full day in duration	cibdei_2
triangle : studied by trigonometry	cibjgacmaci_2
trigonometric	cibjgacmaci
trigonometry	cibjgacmaci_1
triangle	cibjgatai
triangle : musical instrument	cibjgataidamri
yard : unit of measurement	cibjmagutci
myrrh	ciblrmoru_1
blood	ciblu
March : month	cibmasti
Sivan	cibmasti
Lieutenant Commander : military rank in USA	cibmoija'a
Lieutenant-Commander : military rank in India UK	cibmoija'a
Major : military rank in USA India UK	cibmoija'a
Squadron Leader : military rank in India UK	cibmoija'a
vector : 3-dimensional	cibnacmei
Triforce : fictional item	cibrfiorso
volume : 3-dimensional space	cibyca'u
stage 3 fu'ivla	cibyfu'ivla
three-way intersection	cibylajyterkruca
Earth : planet	cibyplini
Third closest planet	cibyplini
3-legged	cibyseltu'e
three-legged	cibyseltu'e
three-syllable word	cibyslakyvla
tripodal	cibytu'e
rolling surface for tricycle	cibyxilma'e_3
tricycle	cibyxilma'e_1
tricycle propulsion source	cibyxilma'e_4
tricycle rider	cibyxilma'e_2
trike : three-wheeled bike	cibyxilma'e
uncultivated field	cicfoi
wasteland	cicfoi
wildcat	cicmlatu
cyan	cicna
sky-blue : color	cicnybla
turquoise : gem	cicnyjme_1
turquoise : mineral	cicnykunra_1
aqua : color	cicnyri'o
cyan : abstract	cicnyzilska
crab apple	cicplise
wild apple	cicplise
savage : person	cicpre
wild man	cicpre
wild person	cicpre
wild woman	cicpre
jungle	cicricfoi
wildcraft	cicycrepu
hare	cicyractu
wild rice	cicyrismi
weed : plant	cicyspa
weed : remove weeds	cicyspavi'u
food	cidja
nutriment	cidja
couscous	cidjrkusku
sushi	cidjrsuci_1
sushi ingredients	cidjrsuci_3
sushi rice	cidjrsuci_2
surströmming : food	cidjrsurstrmi
chili : chili con carne (dish)	cidjrtcilekonkarne
chili con carne : dish	cidjrtcilekonkarne_1
chometz	cidjrxametsa
knee	cidni
hydrogen	cidro
crawl : on knees	cidydzu
kneel : posture	cidytse
in system	ci'e
game : with rules to determine success ot failure	ci'erkei
play a game : with rules to determine success ot failure	ci'erkei
player : game with score	ci'erkeilai_1
points	ci'erkeilai
score : game	ci'erkeilai_2
revolution	ci'ernunbi'o
baby talk	cifku'ita'a
caretaker speech	cifku'ita'a
infant-directed speech	cifku'ita'a
baby : infant	cifnu
infant	cifnu
caterpillar	ciftoldi
sapling	ciftricu
bud : flower	cifxrula
calf : cattle (infant)	cifybakni
duckling	cifydatka
children's story	cifylisri
gland	cigla
infinity	ci'i
infinite times	ci'iroi
love : interest, passion	ci'irpa'i
more interesting	ci'izma
Chicago	cikagos
3,000	ciki'o
awake	cikna
repair	cikre
explain	ciksi
daydream	ciksne
awaken : become awake	cikybi'o
wake up : become awake	cikybi'o
wake up : cause to awaken	cikygau
alarm clock	cikyjunla
wild	cilce
script : ISO-named	cilfu
writing system : ISO-named	cilfu
tie : attach by string	ciljongau
propane	cilkane
moist	cilmo
wet	cilmo
learn	cilre
thread	cilta
wet season	cimcitsi_1
dimension	cimde
dimension : direction in spacetime	cimdylai
number of dimensions	cimdylai_2
is a trio	cimei
wet suit	cimjirta'u
argument roles	cimjvo_3
implicit metaphor	cimjvo
lujvo meaning	cimjvo_2
metaphorical lujvo	cimjvo_1
source tanru	cimjvo_4
infinite	cimni
infinite recursion	cimny'efku
infinite set : set theory	cimnyselcmi_1
eternity	cimnytei
is third among	cimoi
moisten	cimri'a
liquid : consonant	cimsna_1
marsh	cimtu'a
swamp : wetland	cimtu'a_1
swampy	cimtu'a_2
wetland	cimtu'a
wetlands	cimtu'a
kiss	cinba
appears perverted to	cincizra_4
pervert : sexual deviant	cincizra_1
perverted activity	cincizra_2
perverted property	cincizra_3
sexual-teacher	cinctu_1
woolly-leaved oak : tree (Quercus lanata)	cindrlanata
oak	cindu
lion	cinfo
Leo : constellation/astrology	cinfos
liliger	cinfycinfyjvetirxu
liger	cinfyjvetirxu
August : month	cinfyma'i
lion dance : dance	cinfyta'udansu
transsexual : person	cingafpre
wrinkle	cinje
Sinkiang	cinJIAN
Xinjiang	cinJIAN
chat up : flirt with	cinjikca
coquet	cinjikca_1
court	cinjikca
flirt : behave amorously	cinjikca
romance : behave amourously	cinjikca
woo	cinjikca
insect	cinki
insectivorous plant	cinkyctispa
thin	cinla
string : thin cord	cinlysko_1
string material	cinlysko_2
become thinner	cinlyze'a
thinner : becoming	cinlyze'a
attracted : sexually	cinmle_2
attractive : sexually	cinmle
hot : attractive	cinmle
luscious	cinmle
sensual	cinmle
sex bomb	cinmle_1
sexy	cinmle
sultry : attractive	cinmle
voluptuous	cinmle
emotion	cinmo
feel : experience an emotion	cinmo
30	cino
300	cinono
eros	cinpa'i
love : romantic	cinpa'i
love : sexual	cinpa'i
significant other	cinpampe'o
interesting	cinri
paint	cinta
erotic dance	cinterfradansu
paint : agentive	cintypu'i
pliers	cinza
tongs	cinza
tweezers	cinza
jaw : body part (emphasizes grasping ability)	cinzyxadji
mandible : body part	cinzyxadji
pincer	cinzyxadji
emotionally felt by	ci'o
projection operator	ci'o'au
psychomeme	ci'oi
psychomime	ci'oi
cute : the young child sort of way	ci'omle
panda	cionmau
panda : giant panda	ci'onmau
panda : red panda / lesser panda	ci'onme'a
red panda	ci'onme'a
check : inspect	cipcta
false negative	cipflitcica
experiment : conduct an experiment	ciplanli
bird	cipni
buzzard	cipnrbuteo
hawk : buzzard (not true hawks)	cipnrbuteo
dodo	cipnrdodo
emu	cipnrdromai
falcon : bird	cipnrfalko_1
partridge	cipnrfasani
pheasant	cipnrfasani
quail	cipnrfasani
canary	cipnrkanario
crow : bird	cipnrkorvo
crow : animal	cipnrkorvo
raven : bird	cipnrkorvo
cuckoo : bird	cipnrkuku
seagull	cipnrlaridei
sea gull	cipnrlaridei
lorikeet	cipnrlori
lory	cipnrlori
pelican	cipnrpelika
magpie : pica pica	cipnrpika
pica pica	cipnrpika
secretarybird	cipnrsagitariidai
stork	cipnrsikonia
ostrich : bird (genus Struthio)	cipnrstrutio
hoatzin	cipnrxuazine
test	cipra
false positive	cipsadytcica
unearned test success	cipsadytcica
proof of	cipyple_3
source;testpaper source	cipyple_2
subject;testpaper subject	cipyple_4
testpaper	cipyple_1
try out	cipyzu'e
historian	circre
history teacher	circtu
lose	cirko
loss : something lost	cirko_1
cheese	cirla
cheeseburger	cirla zei burgere_1
Roquefort : cheese	cirlnrokforte
Brie : cheese	cirlrbri
Cheddar : cheese	cirlrceda
Edam : cheese	cirlredame
Feta : cheese	cirlrfeta
Gorgonzola : cheese	cirlrgorgonzola
Camembert : cheese	cirlrkamumberti
Mozzarella : cheese	cirlrmozarela
Paneer : cheese	cirlrpanira
Parmesan : cheese	cirlrparmaregio
Parmigiano-Reggiano : cheese	cirlrparmaregio
Prästost : cheese	cirlrpreste
Stilton : cheese	cirlrstilto
Halloumi : cheese	cirlrxalumi
Gouda : cheese	cirlrxauda
cheese knife	cirlydakfu_1
historical : famous	cirmi'o
thrice	ciroi
history : science	cirske
historical : important	cirvai
landmark : historically important	cirvai
watershed : historically important	cirvai
write	ciska
text box : graphical user interface element	ciska zei uidje
text entry box : graphical user interface element	ciska zei uidje
text field : graphical user interface element	ciska zei uidje_1
smile	cisma
smile at	cismyfra
smile : facial expression	cismytai
depth	cisni
height : standing height, tall/high, small/low	cisni
measurement	cisni
width	cisni
daylight saving time	cistcika
system	ciste
minor : music key	cistrxaioliano
minor key : music	cistrxaioliano_1
major : music key	cistrxioniano
major key : music	cistrxioniano_1
Chaotic system : Chaos-Theoretic	cistrxrudu
heifer : female bovine	citfe'ibakni
eat	citka
kid : goat	citkanba
younger	citmau
kitten : young cat	citmlatu
young cat : kitten	citmlatu
cute	citmle
dainty : pretty	citmle
young man	citnau
youth : young man	citnau
young	citno
crush : infatuation	citpa'i
youngest	citrai
history	citri
season	citsi
green onion : onion	citsluni
salad onion : onion	citsluni
scallion : onion	citsluni
shallot : onion	citsluni
spring onion : onion	citsluni
migrate : seasonal	citsymu'u
veal : meat	citybakre'u
puppy : young dog	cityge'u
young dog : puppy	cityge'u
on the scale	ci'u
louse	civla
ked	civysfani
louse fly	civysfani
freak	cizda'u
freakish	cizda'u
monster	cizda'u
monstrous	cizda'u
triphthong	ci zei karsna
tripedal	ci zei tuple
strange	cizra
Kafkaesque	cizrkafka
carob gum	ckabrceratonia
carobin	ckabrceratonia
E410 : food additive	ckabrceratonia
locust bean gum	ckabrceratonia
gum arabic : gum (genus Akacia)	ckabrkacia
rubber	ckabu
bedcloth	ckabu'u
elastic : a band of rubber formed in a loop	ckabycupsri
elastic band : a band of rubber formed in a loop	ckabycupsri
rubber band : a band of rubber formed in a loop	ckabycupsri_1
coffee	ckafi
café au lait : coffee beverage	ckafre'ole
Whisky coffee : liqueur coffee	ckafruiski
blanket : bed cover	ckagai
quilt	ckagai
attribute : trait	ckaji
characteristic	ckaji
feature : trait	ckaji
has quality	ckaji
property : attribute or abstract quality	ckaji
property : trait	ckaji
quality : trait	ckaji
quality	ckaji
trait	ckaji
go to bed	ckakla
bedroom	ckaku'a
get up : from bed	ckali'a
rise : from bed	ckali'a
bed	ckana
danger	ckape_1
peril	ckape
ridicule	ckasu
ashamed	ckeji
anthro : anthropomorphic animal	ckemono
anthropomorphic animal	ckemono
furry : anthropomorphic animal	ckemono
Anatolia	ckenderu
Asia Minor	ckenderu
Asian Turkey	ckenderu
cetacean	cketake_1
dolphin	cketake
porpoise	cketake
species of cetacean	cketake_2
whale	cketake
Albania	ckiipyris
key	ckiku
scale	ckilu
related	ckini
relationship	ckini_3
muskellunge	ckinoje
Albanian : Balkan	ckiptare
grateful	ckire
diaper : absorbent garment	ckopalku
author : a book	ckufi'i
bookshelf	ckukajna_2
edition : of a book	ckuke'u
school	ckule
conifer	ckunu
book chapter	ckupau
chapter : of book	ckupau
book section	ckupaupau
series : books	ckupoi
publication	ckupra_2
publish	ckupra
publish : a book	ckupra
publisher	ckupra_1
book collection	ckusro
library : collection of books	ckusro
bookshop	ckuzai
bookstore	ckuzai
librarian	ckuzdacre
library science	ckuzdaske
run a marathon	clabajykla
squeal : long high-pitched sound	clabrato'a
rifle : shoulder held firearm	clacelxa'i
caudal end : anatomy	claco'a
inferior end : human anatomy	claco'a
posterior end : zootomy	claco'a
anterior end : zootomy	claco'u
cephalic end : anatomy	claco'u
cranial end : anatomy	claco'u
fore : nautical	claco'u
nose : skateboard	claco'u
superior end : human anatomy	claco'u
anterior : absolute position (zootomy)	claco'uklo
cephalic : absolute position (anatomy)	claco'uklo
cranial : absolute position (anatomy)	claco'uklo
superior : absolute position (human anatomy)	claco'uklo
anterior : relative position (zootomy)	claco'umau
cephalic : relative position (anatomy)	claco'umau
cranial : relative position (anatomy)	claco'umau
superior : relative position (human anatomy)	claco'umau
long knife	cladakfu
sword	cladakyxa'i_1
swordsman	cladakyxa'i_3
loud	cladu
tower : building	clagaldi'u_1
grape tomato	clajbatamca
limo	clakarce
limousine	clakarce_1
travel in a limousine	clakarce_2
elf : mythical creature	clakercrida_1
elf	clakercrida_1
hare : long-eared rabbit/hare	clakeryractu
longer	clamau
taller	clamau
shorter	clame'a
giraffe : animal	clanebda'u
long	clani
long-leaf	clapezli
tall person	clapre
high : body stature	claselxadni
high : body	claselxadni
tall : body height	claselxadni
tall : body stature	claselxadni
garden leek : Allium porrum	clasluni
leek : Allium porrum	clasluni
long : in time	clatei
length : metric	clatre
sigh : express with a long breath	clavaxsku
cucumber	clazme
co-* set : a set whose complement has an indicated property	cletckajiko
member : of mathematical set	cletu_2
set : mathematical	cletu
Levallois (Mousterian) : Mousterian paleolithic technique/industry (archaeological sense)	clevalua
mossy	clika
learner : who likes to learn	clinei_1
source : study material	clinei_3
instructional message	clinoi
instruction manual	clinoi
manual : technical document	clinoi
grue : color (time-dependent); Goodman's new riddle of induction	clinu
early	clira
polite	clite
leave	cliva
fill : agentive	clugau_1
loop	clupa
nibble : take small bites	cmabatci
cerebellum : body-part	cmabesna
become small	cmabi'o
decrease : become smaller	cmabi'o
tininess observer	cmacai_3
gun : small arm	cmacelxa'i
small arm	cmacelxa'i
mathematics	cmaci
mathematical structure	cmacistura
booklet	cmacku
brochure	cmacku
diminutive : very small	cmacma
miniature : very small	cmacma_1
tininess	cmacma_2
tininess criterion	cmacma_3
recursion	cmacnrekursi
recursive	cmacnrekursi
recursive function	cmacnrekursi_1
microscope	cmactatci
author of short story	cmafi'a_2
short story : short prose narrative	cmafi'a_1
theme of short story	cmafi'a_3
L'age du renne : paleolithic industry (archaeological sense)	cmagdaleini
L'âge du renne : paleolithic industry (archaeological sense)	cmagdaleini
Magdalenian : paleolithic industry (archaeological sense)	cmagdaleini
my way or the highway	cmaiueiorze'aiuei
destroyer : warship	cmajamblo
decrease in smallness : agentive	cmajdikygau
increase : make greater or larger	cmajdikygau
small	cmalu
hill	cmama'a
chapel	cmamalsi
smaller : by the standard of smallness	cmamau
bigger : by the standard of smallness	cmame'a
larger : by the standard of smallness	cmame'a
teaspoon : unit of measurement	cmamuclai_1
splinter : wood	cmamudyspi
woodchip	cmamudyspi
mountain	cmana
Mandarin orange : fruit	cmanajnimre
tangerine : fruit	cmanajnimre
biscuit : bakery article (American English)	cmananba
bun : bakery article	cmananba
roll : bakery article	cmananba
scone : bakery article	cmananba
Baja rose : rose (Rosa minutifolia)	cmapezyzgu
small-leafed rose : rose (Rosa minutifolia)	cmapezyzgu
asteroid	cmaplini
minor planet	cmaplini
planetoid	cmaplini
smallest : by the standard of smallness	cmarai
creek : body of water	cmari'e
stream : body of water	cmari'e
gravel	cmaro'i
smartphone : small tablet computer	cmata'orskami
village	cmatca
tiny : extremely small	cmatce
dwarf live oak : tree (Quercus minima)	cmatcecindu
hillock	cmatcema'a
knoll	cmatcema'a
mound : small hill	cmatcema'a
rivulet	cmatceri'e
minuscule	cmatcetce
tiny	cmatcetce
low : low-pitched	cmato'a
low-pitched	cmato'a
patch : small expanse of land	cmatu'a
selma'o &quot;RAhO&quot;	cmavnra'o
selma'o &quot;ROI&quot;	cmavnroi
structure word	cmavo
selma'o &quot;BAhE&quot;	cmavrba'e
selma'o &quot;BAI&quot;	cmavrbai
selma'o &quot;BE&quot;	cmavrbe
selma'o &quot;BEI&quot;	cmavrbei
selma'o &quot;BEhO&quot;	cmavrbe'o
selma'o &quot;BIhE&quot;	cmavrbi'e
