a	cmavo   \nA      \nлогический союз: последующая мысль в sumti: 'или'
+VUhU4 ri'o	тринарный математический оператор: [интеграл функции a с агрументом b на интервале c]\n
+FAhA2 ri'u	отношение/направление интервала местоположения; справа от ...\n
+PA4 ro	цифра/число: каждый, все\n
+UI4 ro'a	категория/модификатор эмоции: социально - не-социально\nСм. также {jikca}.
+UI*4 ro'anai	категория/модификатор эмоции: социально - не-социально\nСм. также {jikca}.
+KOhA* roda	логически количественная универсальная sumti: каждый (если только не ограничен)\n
+UI4 ro'e	категория/модификатор эмоции: ментально - без участия ума\nСм. также {menli}.
+UI*4 ro'enai	категория/модификатор эмоции: ментально - без участия ума\nСм. также {menli}.
+ROI roi	превращает число в объективно количественный модификатор интервала; по умолчанию временной интервал\n
+UI4 ro'i	категория/модификатор эмоции: эмоционально - не-эмоционально\nСм. также {cinmo}.
+UI*4 ro'inai	категория/модификатор эмоции: эмоционально - не-эмоционально\nСм. также {cinmo}.
+MAI* romai	междометие-рассуждение: порядковое высказывание: наконец, напоследок, в заключение; последнее порядковое высказывание\n
+MOI* romoi	количественная selbri: является последним среди; превращает значение "каждый" в порядковую selbri; x_1 - последний среди x_2, по правилу x_3\n
+UI4 ro'o	категория/модификатор эмоции: физически - отрицая физический аспект\nСм. также {xadni}.
+UI*4 ro'onai	категория/модификатор эмоции: физически - отрицая физический аспект\nСм. также {xadni}.
+ROI* roroi	модификатор интервала: всегда; объективно количественный интервал; по умолчанию как временной интервал\n
+UI4 ro'u	категория/модификатор эмоции: сексуально - отрицая сексуальный аспект\nСм. также {cinse}.
+UI*4 ro'unai	категория/модификатор эмоции: сексуально - отрицая сексуальный аспект\nСм. также {cinse}.
+KOhA5 ru	pro-sumti: дальняя прошедшая sumti, перед всеми другими sumti, для которых активно использование обратного счёта sumti\n
+UI2 ru'a	междометие-свидетельство: я постулирую/принимаю без доказательств\nСм. также {sruma}.
+CAI ru'e	междометие: модификатор междометия, дающий слабую интенсивность\n
+TAhE ru'i	модификатор интервала: постоянно/непрерывно/неизменно; субъективный интервал/модальное слово; по умолчанию как временной интервал\n
+TAhE* ru'inai	модификатор интервала: прерывисто/время от времени/подчас/порой/прерываемо; по умолчанию как временной интервал\n
+BY1 ru'o	сдвигает буквенные символы в кириллицу\n
+FAhA2 ru'u	отношение/направление интервала местоположения; окружающий/круговой/кольцеобразный ...\n
+BY2 ry	буквенный символ для r\n
+SA sa	стирает высказывание частично или полностью; следующее слово показывает, сколько нужно стереть\n
+UI3a sa'a	междометие-рассуждение: материал, добавляемый редактором/рассказчиком (текст в скобках)\nСм. также {setca}.
+LOhAI sa'ai	начало цитаты, заменяющей недавний ошибочно произнесённый текст\nСм. {le'ai}.
+UI3 sa'e	междометие-рассуждение: строго говоря/говоря конкретно/точно - грубо говоря\nСм. также {satci}, {jibni}.
+COI2 sa'ei	преобразует следующую за ним cmevla или zoi-цитату в звукоподражательное слово/ономатопею/звукоподражание. (бам! бабах! юрк! и т.п.)\nБолее узкое по значению слово, чем {tai'i}. См. также {sance}, {ci'oi}, {ki'ai}.
+UI*3 sa'emau'i	точнее сказать; говоря более точно\nСм. {sa'e}, {mau'i}
+UI*3 sa'enai	междометие-рассуждение: строго говоря/говоря конкретно/точно - грубо говоря\nСм. также {satci}, {jibni}.
+CAI sai	междометие: модификатор междометия, дающий умеренную интенсивность\n
+VUhU4 sa'i	n-арный математический оператор: операнды - это векторы, которые следует рассматривать как столбцы матрицы\n
+VUhU4 sa'o	тринарный математический оператор: [производная функция от a с аргументом b порядка c]\n
+BAI sau	модальный предлог от sarcu, 1-ое место                            требуя (чего) .../нуждаясь в, ...(чём)\n
+UI3 sa'u	междометие-рассуждение: проще говоря - говоря развёрнуто/более того\nСм. также {sampu}, {pluja}.
+UI*3 sa'unai	междометие-рассуждение: проще говоря - говоря развёрнуто/более того\nСм. также {sampu}, {pluja}.
+SE se	2-ая конверсия; меняет местами 1/2-ое места; образует новое selbri из исходного с перестановкой x_1 и x_2        Так, если {tcidu} означает "читать (что-либо)", то {se tcidu} означает "читаться кем-либо". См. также {te}, {xe}, {ve}\n
+UI5 se'a	модификатор междометия: самодостаточность - зависимость\nСм. также {sezysei}, {kantcu}.
+UI*5 se'anai	модификатор междометия: самодостаточность - зависимость\nСм. также {sezysei}, {kantcu}.
+BAI* sebai	модальный предлог от bapli, 2-е место (принуждаемый/форсируемый результат)           заставляющее/вынуждающее/форсирующее событие/принуждающе приводящее к событию ... (результат, какое, событие)\n
+BAI* seba'i	модальный предлог от basti, 2-е место                            вместо, ...\n
+BAI* sebau	модальный предлог от bangu, 2-е место (говорящие)                 на языке говорящих, ...\n
+BAI* sebe'i	модальный предлог от benji, 2-е место (сообщение/груз)            передавая/отправляя/пересылая, ...\n
+BAI* seca'i	модальный предлог от catni, 2-е место                            авторитетно; с властью/авторитетом/полномочиями над, ...\n
+BAI* secau	модальный предлог от claxu, 2-е место (имея нехватку)                  без, ...\n
+BAI* seci'e	модальный предлог от ciste, 2-е место                            с системой, имеющей структуру/правила/отношения, ...\n
+BAI* seci'o	модальный предлог от cinmo, 2-е место (показывает отношение/установку)           эмоционально; проявляя эмоцию, ...(какую)\n
+BAI* seci'u	модальный предлог от ckilu, 2-е место, используется в скалярных отрицаниях    на шкале, измеряющей, ...\n
+BAI* secu'u	модальный предлог от cusku, 2-е место (высказывание)                   выражая/выразительно;, выражая...\n
+BAI* sede'i	модальный предлог от detri, 2-е место (для символов)              той же датой/в ту же дату, что и ... ; метка, события\n
+BAI* sedi'o	модальный предлог от diklo, 2-е место                            локально/в определённом месте; в специфическом местоположении, ...\n
+BAI* sedu'i	модальный предлог от dunli, 2-е место (такой же как и первый);             равный ...(кому/чему) [такой же, как (1-ое место модальной, частицы)]\n
+BAI* sedu'o	модальный предлог от djuno, 2-е место                            со знанием дела; зная факты, ...(какие)\n
+NU* sedu'u	составной абстрактор: абстракция предложения/равенства; x_1 - это текст, выражающий [bridi], которая представляет из себя x_2\n
+BY1 se'e	следующие цифры обозначают код знака, код символа (в ASCII, Unicode/Юникоде и т.п.)\n
+BAI* sefa'e	модальный предлог от fatne, 2-е место (такой же как и первый);             в обратном направлении, наоборот; обращённый/инвертированный/имеющий обратное направление относительно, ...\n
+BAI* sefi'e	модальный предлог от finti, 2-е место                            созидательно,творчески; создающий/творящий/сочиняющий произведение/работу, ...\n
+BAI* sega'a	модальный предлог от zgana, 2-е место                            наблюдая, ...\n
+BAI* segau	модальный предлог от gasnu, 2-е место падежное дополнение деятеля/агента; деятельно/активно; как активный агент ...(какого, действия)\n
+SEI sei	открывает bridi как рассуждение (металингвистическое)\n
+UI5 se'i	модификатор междометия: ориентированно на самого себя - ориентированно на других\nСм. также {sevzi}, {drata}.
+UI*5 se'inai	модификатор междометия: ориентированно на самого себя - ориентированно на других\nСм. также {sevzi}, {drata}.
+BAI* seja'e	модальный предлог от jalge, 2-е место (причина события)             из-за/являясь результатом, ...(чего)\n
+BAI* seja'enai	модальный предлог от jalge, 2-е место (причина события)             приводя к результату несмотря на, ...(что)\n
+BAI* seja'i	модальный предлог от javni, 2-е место                            правильно, дисциплинированно; согласно правилу, предписывающему, ...\n
+BAI* seji'e	модальный предлог от jimte, 2-е место                            ограниченно; как предел ..., (чего)\n
+BAI* seji'o	модальный предлог от jitro, 2-е место                            управляемо/контролируемо; контролируя/направляя ...(кого/что)/ управляя, ...(кем/чем)\n
+BAI* seji'u	модальный предлог от jicmu, 2-е место (от основания)               поддерживая ...; как базис для, ...\n
+BAI* seka'a	модальный предлог от klama, 2-е место                            с местом назначения в виде, ...\n
+BAI* sekai	модальный предлог от ckaji, 2-е место (качество)                  характеризуемый ...(чем); со свойством/качеством/признаком/чертой, ...\n
+BAI* seka'i	модальный предлог от krati, 2-е место                            представляя; от имени, ...\n
+BAI* sekai ma	sumti-вопрос, спрашивающий насчёт характерного/отличительного/типичного качеста; какой, какого сорта/рода?\n
+BAI* seki'i	модальный предлог от ckini, 2-е место (такой же как и первый)              связанный с, ...\n
+BAI* seki'u	модальный предлог от krinu, 2-е место                            по этому поводу/из-за этого основания, ...\n
+BAI* seki'unai	модальный предлог от krinu, 2-е место                            несмотря на этот повод/основание, ...\n
+BAI* sekoi	модальный предлог от korbi, 2-е место (граничный/окаймляющий)                 как граница, ...(чего)\n
+BAI* seku'u	модальный предлог от kulnu, 2-е место (люди)                   в культуре, ...(кого)\n
+BAI* sela'u	модальный предлог от klani, 2-е место                            измеряемое, ...(чем)\n
+BAI* sele'a	модальный предлог от klesi, 2-е место                            как категория/класс, ...(чего)\n
+BAI* seli'e	модальный предлог от lidne, 2-е место                            который предшествует ...(кому/чему);имея лидирующим ... (кого/что); не-временна`я, последовательность\n
+BAI* sema'e	модальный предлог от marji, 2-е место                            сделанный из материала/состава/смеси, ...(какой)\n
+BAI* sema'i	модальный предлог от manri, 2-е место (стандарт/опорная точка/эталон)             как эталон/система отсчёта, ...(чего)\n
+BAI* semau	модальный предлог от zmadu, 2-е место (относительное!)                более чем ...; обычно, sumti-модификатор\n
+BAI* semaunai	модальный предлог от zmadu, 2-е место (относительное!)                не более чем ...; обычно, sumti-модификатор\n
+BAI* seme'a	модальный предлог от mleca, 2-е место (относительное!)                менее чем ...; обычно, sumti-модификатор\n
+BAI* seme'anai	модальный предлог от mleca, 2-е место (относительное!)                not less than ...; обычно, sumti-модификатор\n
+BAI* seme'e	модальный предлог от cmene, 2-е место (именованный, имеющий имя)            как имя для, ...(кого/чего)\n
+BAI* semu'i	модальный предлог от mukti, 2-е место                            из-за мотива поэтому ...; мотивирующим действием является, ...\n
+BAI* semu'inai	модальный предлог от mukti, 2-е место                            несмотря на мотив, всё же, ...\n
+BAI* semu'u	модальный предлог от mupli, 2-е место                            как пример свойства, ...(какого)\n
+BAI* seni'i	модальный предлог от nibli, 2-е место                            что влечёт за собой/из-за чего следует, ...\n
+BAI* seni'inai	модальный предлог от nibli, 2-е место                            что тем не менее влечёт за собой/несмотря на что следует, ...\n
+UI2 se'o	междометие-свидетельство: мне видится/мне открылось/мне кажется/чую/я знаю по своим внутренним переживаниям (мечтам/фантазиям/сновидениям/галлюцинациям/виде`ниям/личному откровению)\nСм. также {senva}.
+BAI* sepa'a	модальный предлог от panra, 2-е место                            похоже; похоже на, ...\n
+BAI* sepa'u	модальный предлог от pagbu, 2-е место (целое)                    частично; как часть, ...(кого/чего)\n
+BAI* sepi'o	модальный предлог от pilno, 2-е место (инструмент) с орудием/аппаратом/механизмом/с действующей сущностью;  используя (орудие/инструмент), ...\n
+BAI* sepo'i	модальный предлог от porsi, 2-е место                            последовательно; последовательно по правилам, ...(каким)\n
+BAI* sepu'a	модальный предлог от pluka, 2-е место (для/кому)                   приятно; приятно ...(кому); чтобы доставлять удовольствие/угождать/чтобы было приятно, ...(кому)\n
+BAI* sepu'e	модальный предлог от pruce, 2-е место (расход)                   перерабатывая/производя из исходного материала/данных, ...\n
+BAI* sera'a	модальный предлог от srana, 2-е место (относительно/в отношении)            уместно/имея отношение к делу; касательно/относительно ... (менее, специфичного)\n
+BAI* serai	модальный предлог от traji, 2-е место (качество)                 -нейший; самый; самый в ...(чём), крайний в ...(по какому, критерию)\n
+BAI* sera'i	модальный предлог от krasi, 2-е место                            по происхождению; как начало/начальная точка, ...(чего)\n
+BAI* seri'a	модальный предлог от rinka, 2-е место (физически/ментально)             причинно поэтому/из-за этой причины, ...\n
+BAI* seri'anai	модальный предлог от rinka, 2-е место (фищически/ментально)             несмотря на эту причину, ...\n
+BAI* seri'i	модальный предлог от lifri, 2-е место                            испытывая ...; переживая, ...(что)\n
+BAI* sesau	модальный предлог от sarcu, 2-е место (процесс)                  необходимо; необходимо для, ...\n
+BAI* sesi'u	модальный предлог от sidju, 2-е место                            помогая ... (кому/чему в чём-либо/деле/поддержании, чего-либо)\n
+BAI* setai	модальный предлог от tamsmi, 2-е место                           (подобно/как)/на манер/напоминая/имея форму ...(кого/что в его идеальной форме)\n(x_1 имеет форму/похож на x_2 разделяя идеальную форму x_3 в аспекте x_4)
+BAI* seta'i	модальный предлог от tadji, 2-е место                             методично/методически; как метод для выполнения, ...\n
+BAI* seti'i	модальный предлог от stidi, 2-е место                            имея советы/предложения; предлагая (идею/действия), ...\n
+BAI* seti'u	модальный предлог от tcika, 2-е место (для символов)              в то же время (часы/минуты/секунды), что и ... ; событие, обозначенное временем\n
+BAI* setu'i	модальный предлог от stuzi, 2-е место                            как постоянноеместо.местоположение, ...(кого/чего)\n
+SEhU se'u	опускаемый терминатор: завершает междометие-рассуждение в виде bridi или математическое старшинство;обычно опускаемо\n
+BAI* seva'o	модальный предлог от vanbi, 2-е место\n(среда/окружение)              как условия/среда/окружение для, ...
+BAI* seva'u	модальный предлог от xamgu, 2-е место метка того, кому хорошо/благотворно       к выгоде ... (кого); что хорошо для, ...\n
+BAI* sezau	модальный предлог от zanru, 2-е место                            одобрительно; одобряя ...(план действий и, пр.)\n
+BAI* sezu'e	модальный предлог от zukte, 2-е место                            намеренно/умышленно/намеренно действуя; намеренно совершая, ...(действие)\n
+SI si	стирает последнее ложбанское слово, обрабатывает не-ложбанский текст как одиночное слово\n
+UI3b si'a	междометие-рассуждение: подобным образом, тоже (аналогично)\nСм. также {simsa}, {panra}.
+UI2 si'au	междометие-свидетельство: кажется ..., по-видимому ...\n
+MOI si'e	превращает число в долевую selbri; x_1 - это (n) раз x_2 (массив/полная совокупность);\nСм. также {gunma}.
+VUhU4 si'i	тринарный математический оператор: [сигма-суммирование a, используя переменную b на интервале c]\n
+NU si'o	абстрактор: абстрактор идеи/концепции; x_1 - это концепция x_2 (кого) в [bridi]\n
+BAI si'u	модальный предлог от sidju, 1-ое место (помогающий агент)             с помощью, ...(кого/чего)\n
+BY* slaka bu	буквенный символ: ложбанский знак ','\n
+PA1 so	цифра/число: 9 (цифра) [девять]\n
+PA4 so'a	цифра/число: почти каждый (цифра/число)\n
+PA4 so'e	цифра/число: большинство/б`ольшая часть\n
+ROI* so'eroi	модификатор интервала: обычно; объективно количественный интервал; по умолчанию как временной интервал\n
+SOI soi	междометие-рассуждение: маркёр возвратных/взаимных/обоюдных sumti; обозначает обоюдные отношения между sumti ( переводится как "друг друга" и пр.)\n
+PA4 so'i	цифра/число: много/немало\n
+MOI* so'imei	количественная selbri: преобразует "много" в количественное; связка, пучок, букет, стадо, пачка; x_1 это множество с многими членами x_2 из полного множества x_3\n
+ROI* so'iroi	модификатор интервала: много раз; объективно количественный интервал; по умолчанию как временной интервал\n
+PA* soki'o	число/количество: 9,000, выражается с помощью запятой\n
+MOI* somoi	количественная selbri: преобразует 9 в порядковую selbri; x_1 является девятым среди x_2, упорядочиваемых по правилу x_3\n
+PA* sono	число/количество: 90 [девяносто]\n
+PA* sonono	число/количество: 900 [девятьсот]\n
+PA4 so'o	цифра/число: несколько\n
+PA* sosoce'i	число/количество: 99% (число)\n
+PA4 so'u	цифра/число: мало/немного\n
+ROI* so'uroi	модификатор интервала: мало раз; объективно количественный интервал; по умолчанию как временной интервал\n
+PA* sozepimu	число/количество:  97.5\n
+SU su	стирает весь текст/беседу до её начала; оставить предмет разговора или начать сначала\n
+UI2 su'a	междометие-свидетельство: я обобщаю - я вдаюсь в подробности; междометие-рассуждение: абстрактно - конкретно\nСм. также {sucta}, {sucni'i}.
+UI*2 su'anai	междометие-свидетельство: я обобщаю - я вдаюсь в подробности; междометие-рассуждение: абстрактно - конкретно\nСм. также {sucta}, {sucni'i}.
+PA4 su'e	цифра/число: не более, чем/не больше, чем/максимум (далее следует число)\n
+VUhU1 su'i	n-арный математический оператор: плюс; оператор добавления; [(((a + b) + c) + ...)]\n
+PA4 su'o	цифра/число: по крайней мере (некоторые); не менее, чем/не меньше, чем/как минимум (далее следует число)\n
+MOI* su'oremei	количественная selbri: преобразует "по крайней мере 2" в количественную selbri; x_1 это множество с более чем одним (иными словами, множественное число) членами x_2\n
+MOI* su'oremoi	количественная selbri: преобразует "по крайней мере 2" в порядковую selbri; x_1 - это по крайней мере второй среди x_2, упорядочиваемых по правилу x_3\n
+NU su'u	абстрактор: обощённый абстрактор (как); x_1 - [bridi] как неспецифическая абстракция типа x_2\n
+BY2 sy	буквенный символ для s\n
+KOhA6 ta	pro-sumti: то там; то недалеко; указательное местоимение: обозначает вещь/место недалеко от говорящего\n
+COI ta'a	звательная частица: прерывание\n
+TAhE ta'e	модификатор интервала: по обыкновению/обычно/обыкновенно/привычно; субъективный интервал/модальное слово; по умолчанию как временной интервал\n
+TAhE* ta'enai	модификатор интервала: не по обыкновению/необычно; субъективный интервал/модальное слово; по умолчанию как временной интервал\n
+BAI tai	модальный предлог от tamsmi, 1-ое место (подобно/как)/на кого похож      кого напоминает ...; форму кого (идеального объекта) имеет ...\n(x_1 напоминает x_2 разделяя идеальную форму x_3 в аспекте x_4)
+BAI ta'i	модальный предлог от tadji, 1-ое место (метод)              методически; с помощью метода/методом ...; тж. при ответе на вопрос, "Как?"\n
+COI2 tai'i	преобразует следующую cmevla или zoi-цитату в феномим (фразу, которая имитирует определённую физическую форму или движение).\nИдеофон. Более широкий термин по сравнению с {ci'oi} и {sa'ei}. См. также {tai}, {tamsmi}, {ki'ai}. Примеры в некоторых языках. jpn: しーん (shiin): беззвучно. kor: 슬슬 (seul-seul): мягко, нежно. nep: हत्तपत्त (hattapatta): немедленно.
+BAI* ta'i ma	sumti-вопрос насчёт метода; как/каким образом?\n
+UI3 ta'o	междометие-рассуждение: кстати/к слову сказать/между прочим - возвращаясь к основной теме...\n
+UI*3 ta'onai	междометие-рассуждение: кстати/к слову сказать/между прочим - возвращаясь к основной теме...\n
+LAU tau	2-словный буквенный символ/сдвиг: меняет регистр только одного следующего буквенного символа\n
+UI3a ta'u	междометие-рассуждение: получается при раскрытии tanru - образуя такую tanru\nСм. также {tanru}.
+UI*3a ta'unai	междометие-рассуждение: получается при раскрытии tanru - образуя такую tanru\nСм. также {tanru}.
+SE te	3-ая конверсия; меняет местами 1/3-ье места; образует новое selbri из исходного с перестановкой x_1 и x_3        Так, если {xatra} означает "письмо (автора)", то {te xatra} означает "быть автором письма". См. также {se}, {ve}, {xe}\n
+VUhU2 te'a	бинарный математический оператор: в степени; показательная функция/экспоненциал; [a в степени b]\n
+XI te'ai	возведение в степень selbri как единиц измерения\nВместе с {pi'ai} это слово может использоваться для построения selbri для единиц измерения; см. примечание к слову {pi'ai} для простейшего примера. Полным примером могут быть единицы измерения ускорения, pi'ai mitre snidu te'ai ni'u re [ke'e].
+BAI* tebau	модальный предлог от bangu, 3-е место (выражаемое)               на языке, выражающем ...\n
+BAI* tebe'i	модальный предлог от benji, 3-е место (получатель)                   отсылаемое к получателю ...\n
+BAI* teca'i	модальный предлог от catni, 3-е место                            авторитетно/влиятельно/властно; основанием для власти/авторитета которого является ...\n
+BAI* teci'e	модальный предлог от ciste, 3-е место                            являющееся системой с компонентами ...\n
+BAI* teci'o	модальный предлог от cinmo, 3-е место (то, к чему есть отношение, позиция, испытывается внутреннее состояние)           причастно/эмоционально; испытывая внутреннее состояние по отношению к ...\n
+BAI* tecu'u	модальный предлог от cusku, 3-е место (кому говорится)        как говорится  ...(кому)\n
+BAI* tede'i	модальный предлог от detri, 3-е место                            являющееся датой события, приисходящего в ... (месте)\n
+BAI* tedi'o	модальный предлог от diklo, 3-е место                            локально; в определённом месте, имеющем пределы ...\n
+BAI* tedu'i	модальный предлог от dunli, 3-е место                            равно, в равной степени; равным образом в аспекте/качестве ...\n
+BAI* tedu'o	модальный предлог от djuno, 3-е место                            зная; зная о ...\n
+FAhA3 te'e	отношение/направление интервала местоположения; имея границу с.../гранича с.../окаймляя ...\n
+BAI* tefi'e	модальный предлог от finti, 3-е место                            творчески; придуманное/изобретаемое для ...(цели/замысла)\n
+BAI* tega'a	модальный предлог от zgana, 3-е место                            наблюдая с помощью ...\n
+TEI tei	далее следует составной буквенный символ; используется для буквенных символов из нескольких знаков\n
+BAI* teja'i	модальный предлог от javni, 3-е место                            правильно, дисциплинированно; согласно правилу в системе/регламенте ...\n
+BAI* teji'e	модальный предлог от jimte, 3-е место                            ограниченно; ограниченно в аспекте/отношении/области ...\n
+BAI* teji'o	модальный предлог от jitro, 3-е место                            контролируемо; контролируя в деятельности/событии ...\n
+BAI* teka'a	модальный предлог от klama, 3-е место                            двигаясь от ...\n
+BAI* teka'i	модальный предлог от krati, 2-е место                            представительно/представляя; будучи уполномоченным/являясь представителем по вопросу ...\n
+BAI* teki'i	модальный предлог от ckini, 3-е место                            находясь в отношении/связи ...(какой)\n
+BAI* tekoi	модальный предлог от korbi, 3-е место (окаймляемое)                 окаймляя/гранича с/прилегая к ...\n
+BAI* tela'u	модальный предлог от klani, 3-е место                            являющееся количеством, измеряемым по шкале ...\n
+BAI* tele'a	модальный предлог от klesi, 3-е место (свойство)                 категоризуемое по свойству/являющееся категорией со свойством ...\n
+BAI* teli'e	модальный предлог от lidne, 3-е место                            предшествующий в последовательности ...; не-временн`ая последовательность\n
+BAI* tema'e	модальный предлог от marji, 3-е место                            имеющий материальную форму ...(какую)\n
+BAI* tema'i	модальный предлог от manri, 3-е место (правила системы отсчёта)             будучи системой отсчёта для наблюдения/измерения по правилам ...(каким)\n
+BAI* temau	модальный предлог от zmadu, 3-е место (относительное!)                больший/превышая в аспекте/свойстве ...\n
+BAI* teme'a	модальный предлог от mleca, 3-е место (относительное!)                меньший/уступая в аспекте/свойстве ...\n
+BAI* teme'e	модальный предлог от cmene, 3-е место                            как имя, используемое ...(кем)\n
+BAI* temu'i	модальный предлог от mukti, 3-е место                            будучи мотивом для ...(кого)\n
+BAI* temu'u	модальный предлог от mupli, 3-е место                            как пример из множества ...\n
+BAI* teni'i	модальный предлог от nibli, 3-е место                            влекущий за собой согласно правилам/логической системе, ...\n
+PA5 te'o	цифра/число: экспоненциальное e, основание натурального логарифма (приблизительно 2.71828...)\n
+BAI* tepa'a	модальный предлог от panra, 3-е место (аспект)                 контрастируя; контрастируя только в аспекте ...\n
+BAI* tepi'o	модальный предлог от pilno, 3-е место (цель использования)             используя инструмент для цели/с целью ...\n
+BAI* tepo'i	модальный предлог от porsi, 3-е место                            последовательно; будучи последовательностью множества элементов ...\n
+BAI* tepu'a	модальный предлог от pluka, 3-е место                           приятно; приятно ...(кому); будучи приятным в условиях ...\n
+BAI* tepu'e	модальный предлог от pruce, 3-е место (продукт)                  давая продукт ...\n
+BAI* terai	модальный предлог от traji, 3-е место (предел)              -ший; в высшей степени, предельно; имея высшим пределом ...\n
+BAI* teri'a	модальный предлог от rinka, 3-е место (физически/ментально)             причинно в условиях ...\n
+BAI* tesau	модальный предлог от sarcu, 3-е место (условия для 2)             необходимо; необходимо при/в условиях ...\n
+BAI* tesi'u	модальный предлог от sidju, 3-е место                            помогая в ...(деятельности/поддержании/достижении чего-либо)\n
+BAI* tetai	модальный предлог от tamsmi, 3-е место                           (подобно/как)/на манер/напоминая идеальную форму ...(какую)\n(x_1 имеет форму/похож на x_2 разделяя идеальную форму x_3 в аспекте x_4)
+BAI* teta'i	модальный предлог от tadji, 3-е место                       будучи методом в условиях ...\n
+BAI* teti'i	модальный предлог от stidi, 3-е место                            подсказывая/давая советы ...(кому)\n
+BAI* teti'u	модальный предлог от tcika, 3-е место (для символов)              являясь временем (часы/минуты/секунды) события в день ...(какой)\n
+TEhU te'u	опускаемый терминатор: окончание преобразования между не-mex и mex (то есть математическими) выражениями; обычно опускаемо\n
+BAI* teva'u	модальный предлог от xamgu, 3-е место                            хорошо/благотворно согласно стандарту ...\n
+BAI* tezu'e	модальный предлог от zukte, 3-е место                            целенаправленно, умышленно, намеренно; (как действие) с целью ...(какой)\n
+KOhA6 ti	pro-sumti: это непосредственно здесь; указательное местоимение; обозначает вещь/место около говорящего\n
+FAhA2 ti'a	отношение/направление интервала местоположения; сзади/в тылу от ...\n
+UI2 ti'e	междометие-свидетельство: говорят.../по слухам/молва говорит\nСм. также {tirna}, {sitna}, {tcidu}.
+BAI ti'i	модальный предлог от stidi, 1-ое место                            предлагаемое/намекаемое/подсказываемое ...(кем)\n
+SEI ti'o	старшинство операторов математических (mex) выражений (междометие-рассуждение)\n
+BAI ti'u	модальный предлог от tcika, 1-ое место (для символов)              происходящее во время ...(часы, минуты, секунды); присоединяется штамп времени\n
+TO to	начало вводного/пояснительного предложения (вставки в текст, в русском тексте часто отделяется круглыми скобками); вставляться должен  должен грамматически корректный ложбанский текст\n
+BY1 to'a	сдвиг буквенных символов в нижний регистр\n
+NAhE to'e	скалярный инвертор, дающий полярную оппозицию\n
+TOI toi	опускаемый терминатор: окончание вводного/пояснительного предложения (вставки в текст, в русском тексте часто отделяется круглыми скобками); редко опускаемо в конце текста\n
+TO to'i	открывает внутри цитаты редакторскую вставку/комментарий, не являющуюся частью цитаты; содержит грамматически корректный текст\n
+FAhA4 to'o	отношение/направление интервала местоположения; от/прочь от...\n
+UI3 to'u	междометие-рассуждение: вкратце - детально/подробно\nСм. также {tordu}, {clani}, {tcidu}.
+UI*3 to'unai	междометие-рассуждение: вкратце - детально/подробно\nСм. также {tordu}, {clani}, {tcidu}.
+KOhA6 tu	pro-sumti: то вон там; то далеко; указательное местоимение: обозначает вещь/место далеко от говорящего и слушателя\n
