agmasto	fu'ivla      \nx_1 estas masto de ŝipo x_2\nRigardu ankaŭ {bloti}
tanko	gismu      \nx_1 estas kvanto da tabako [folio] de speco/raso x_2\nVidu ankaŭ {sigja}, {marna}.
tanru	gismu   \n-tau-      \nx_1 estas binara metaforo formita per x_2 modifanta x_3-on, kun signifo x_4 en uzo/instanco x_5\n(x_2 kaj x_3 ambaŭ estas tekstoj aŭ ambaŭ konceptoj si'o) Vidu ankaŭ {gismu}, {smuni}.
tansi	gismu   \n-tas-      \nx_1 estas pato/pelvo/baseno/kuvo/tino, malprofunda ujo por enhavo x_2, el materialo/ecoj x_3\nVidu ankaŭ {baktu}, {palne}, {palta}, {patxu}, kabri por pelvo kutime levita por {uzo}, {botpi}.
tanxe	gismu   \n-tax-   \n-ta'e-      \nx_1 estas skatolo/kofro/kesto por enhavo x_2, kaj el materialo x_3\nVidu ankaŭ {bakfu}, {botpi}, {cutne}, {dacru}.
tapla	gismu      \nx_1 estas plato/kahelo/tegolo/bloko [formo] el materialo x_2, formo x_3, diko x_4\nPlato estas 3-dimensia objekto, relative unuforma kaj signifa en la 3a dimensio, sed sufiĉe maldika por ke ĝia formo en la ceteraj du dimensioj estu signifa trajto; 'cityblock' koncepte estas plato; poligono (= taplytai aŭ kardytai - formita kiel proksimume-2-dimensia bloko, lijyclupa - maŝo konsistiĝanta el linioj).  (kp. bliku, kubli, matci; karda, por kiu la 3a dimensio estas negrava, bliku, kurfa, matci, plita, tarmi)
tarbi	gismu      \nx_1 estas embrio/zigoto/feto/fekundigita ovo kun patrino x_2, kaj patro x_3\nVidu ankaŭ {gutra}, {mamta}, {patfu}, {sovda}, {rorci}, {tsiju}, {grute}.
tarci	gismu   \n-tar-      \nx_1 estas stelo/suno kun stelaj ecoj x_2\nVidu ankaŭ {solri}, {tsani}.
tarla	gismu      \nx_1 estas kvanto da/enhavas/konsistas el gudro/asfalto el fonto x_2\n(kp. kolme, peŝu, snipa)
tarmi	gismu   \n-tam-   \n-tai-      \nx_1 [idealo] estas la koncepta formo de objekto/abstraktaĵo/manifestaĵo x_2\n           	Ankaŭ: desegno/ŝablono; x_1 estas la matematika aŭ teoria ideala formo, dum x_2 estas objekto/okazo manifestanta tiun formon; ekz. cirkla/cirklo-forma (= {cukseltai}) vs. cirklo (=cuktai, dum sola cukla estas ambigua); modelo (= {ci'ersaptai}, {saptai}, {ci'ersmitai}, {smitai}).  (kp. nejni, morna; te marji por fizika formo, tapla, bliku, kubli, kurfa, cukla, mapti, morna, sarlu)
tarti	gismu   \n-tra-      \nx_1 kondutas sin en maniero x_2 (okazo/eco) sub kondiĉoj x_3\nVidu ankaŭ {cnano}, {frati}, {tcaci}, {cilce}, {jikca}, {marde}.
taske	gismu      \nx_1 soifas por x_2; x_1 bezonas/volas trinkaĵon/fluaĵon/lubrikaĵon x_2\nVidu ankaŭ {nitcu}, {djica}, {xagji}, {pinxe}.
tatpi	gismu   \n-ta'i-      \nx_1 estas laca pro peno/situacio x_2 (okazo); x_1 bezonas/volas ripozi\nVidu ankaŭ {cikna}, {sipna}, {surla}.
tatru	gismu   \n-tat-      \nx_1 estas mamo [korpoparto] de x_2; [metafore: elstaraĵo liveranta likvaĵo]\nMampinto (= {tatyji'o}).  Vidu ankaŭ {ladru}, {mabru}.
tavla	gismu   \n-tav-   \n-ta'a-      \nx_1 parolas al x_2 pri temo x_3 en lingvo x_4\nNe limigita al voĉa parolo, sed tio estas implicita de x_4 sen konteksto pri alia konversacirimedo (uzu je cusku, casnu, skicu, ciksi por pli malforta implico de voĉa komunikado); konversacii/diskuti/babili(=simta'a,simsku,vricysimta'a por konversacio ne klare limigita per temo).  Vidu ankaŭ {bacru}, cusku por efektiva {esprimo}, {casnu}, {darlu}, {skicu}, {ciksi}, {bangu}.
taxfu	gismu   \n-taf-   \n-ta'u-      \nx_1 estas vestaĵo/kostumo por vestado de x_2 (sekso/speco/korpoparto) kun funkcio x_3\nAnkaŭ: x_2 povas porti/portas x_1-on; rilatas al io destinita kiel vesto, ne al io nur okaze portita (tio ne nepre estas tiel por dasni).  Vidu ankaŭ {creka}, {cutci}, daski,dasni,gluta,{kosta}, mapku,{palku}, {pastu}, {skaci}, {smoka}, {lunbe}.
tcaci	gismu   \n-cac-      \nx_1 estas kutimo/[rito/rutino] de x_2 sub kondiĉoj x_3\nAnkaŭ: x_1 estas kutima/ordinara.  Vidu ankaŭ {fadni}, {kampu}, {lakne}, {jinzi}, {ckaji}, {cnano}, {tarti}, {ritli}, {javni}, {zekri}.
tcadu	gismu   \n-tca-      \nx_1 estas urbo de metropolo x_2, en politika unuo x_3, servanta postregionon/regionon x_4\nVidu ankaŭ {jarbu}, {nurma}, {cecmu}, {jarbu}.
tcana	gismu      \nx_1 estas stacio/nodo de/en transporta/komunikada/distribua sistemo/retaĵo x_2\nx_2 povas esti reprezentita per aro de veturiloj de sistemo.  Vidu ankaŭ {dargu}, {litru}, {pluta}, {trene}, {ciste}, ve {mrilu}, {tivni}, {cradi}, ve {benji}, {fonxa}, {dikca}, {fatri}.
tcati	gismu      \nx_1 estas kvanto da/enhavas/konsistas el teo infuzita el folioj x_2\nVidu ankaŭ {ckafi}.
tcena	gismu   \n-ten-      \nx_1 streĉiĝas/etendiĝas/sterniĝas en amplekson x_2 laŭ dimensio x_3 ekde malstreĉa amplekso x_4\nVidu ankaŭ {kuspe}, {pruni}, {preja}, {ranji}, {trati}.
tcica	gismu   \n-tic-      \nx_1 (okazo/sperto) trompas/misgvidas/erarigas/miskondukas x_2-on en x_3-on (okazo/stato)\nAgenta trompado (= {ticygau}, {ticyzu'e}); x_3 povus esti ago aŭ kredo de x_2; difekta intenco aŭ rezulto ne implicita (= malticyzu'e por tia difekta {intenco}); memtrompi (=sezytcica); trompi en misgvidan agon (= {ticyxlu}); trompita kredo (= {tickri}); mensogi/diri malveron (= {ticysku}, {jifsku}), blanka mensogo (= {zanticysku}).  Vidu ankaŭ {stace}, {xlura}, {stidi}, {kajde}.
tcidu	gismu   \n-tid-      \nx_1 [aganto] legas x_2-on [teksto] de surfaco/dokumento/legaĵo x_3; x_1 estas leganto\nVidu ankaŭ {ciska}, {cukta}, {karni}.
tcika	gismu      \nx_1 [horoj, {minutoj}, {sekundoj}] estas la horo de stato/okazo x_2 en tago x_3 ĉe loko x_4\n(tempaj unuoj en x_1 estas specifitaj kiel nombroj apartigitaj per pi'e); Vidu ankaŭ cmavo {ti'u}, {cacra}, {cerni}, {detri}, {donri}, {djedi}, junla,nicte,mentu,{snidu}, temci,{vanci}, {dirba}, {mokca}.
tcila	gismu   \n-til-      \nx_1 estas detalo/trajto/apartaĵo de x_2\nVidu ankaŭ {diklo}, {steci}.
tcima	gismu   \n-tim-   \n-ti'a-      \nx_1 estas vetero ĉe loko/regiono x_2; (adjektivo:) x_1 estas meteorologa\nKlimato (= {citsyti'a}, {timymo'a}).  Vidu ankaŭ {brife}, {bumru}, {carvi}, {dilnu}, {bratu}.
tcini	gismu      \nx_1 [stato/eco] estas stato/situacio/kondiĉo/konjunkturo/pozicio/cirkonstanco de x_2\nKarakterizaj ecoj aŭ ĉirkaŭaĵo de objekto/okazo/procedo etapo aŭ stato kiuj estas tipe/potenciale nur portempaj.  Vidu ankaŭ {stuzi}, {zvati}, {vanbi}, ve {pruce}, {ckaji}, {zasni}.
tcita	gismu      \nx_1 estas etikedo de x_2 montranta informon x_3\nVidu ankaŭ {sinxa}, {cmene}, {judri}.
te	cmavo   \n-ter-      \n3-a revicigo; interŝanĝas 1-an/3-an lokojn
temci	gismu   \n-tem-   \n-tei-      \nx_1 estas tempodaŭro/intervalo/periodo/[forpasita tempo] ekde tempo/okazo x_2 ĝis tempo/okazo x_3\nAnkaŭ: aĝo/forpasita tempo (= {niltei}).  Vidu ankaŭ {cacra}, {cedra}, {citsi}, {ranji}, {tcika}, {junla}, {renvi}.
tenfa	gismu   \n-tef-      \nx_1 estas la eksponencialo de bazo x_2 altigata ĝis potenco/eksponento x_3\nVidu ankaŭ {dugri}.
tengu	gismu   \n-teg-   \n-te'u-      \nx_1 (eco-ka) estas tekseco de x_2\nVidu ankaŭ {rufsu}, {xutla}.
terdi	gismu   \n-ted-      \nx_1 estas la tero/hejma planedo de raso x_2; (adjektivo:) x_1 estas tera\n(kp. lunra, plini, solri, kensa, tsani; dertu por grundo, koto, krom kiam uzita por esprimi fizika relativa referenckadro Ekz. sur la grundo, la grundo sub niaj piedoj.  tsani)
terpa	gismu   \n-tep-   \n-te'a-      \nx_1 timas x_2-on (okazo/tu'a objekto)\nAnkaŭ: x_1 sentas teruron pri x_2; x_2 estas timiga/teruriga al x_1 (= selte'a por reordigi {lokojn}).  Vidu ankaŭ {snura}, {xalni}, {xanka}, {virnu}.
terto	gismu   \n-tet-      \nx_1 estas biliono [1x_10**12] da x_2 laŭ dimensio/aspekto x_3 (defaŭlte unuoj)\n(kp. grake, mitre, snidu, stero, delno, molro, kelvo, xampo, gradu. litce, merli, centi, decti, dekto, femti, gigdo, gocti, gotro, kilto, megdo, mikri, milti, nanvi, petso, picti, xatsi,xecto, xexso,zepti,zetro)
ti	cmavo   \n-tif-      \npro-sumti: ĉi tiu/tio/tie; demonstrativo; indikas aĵon/lokon proksiman de la parolanto
tigni	gismu   \n-tig-      \nx_1 prezentas x_2-on [prezento] antaŭ publiko x_3\nVidu ankaŭ {jarco}.
tikpa	gismu   \n-tip-      \nx_1 piedfrapas x_2-on je loko x_3, per piedo x_4\nVidu ankaŭ {tunta}, {darxi}.
tilju	gismu   \n-tij-      \nx_1 estas peza en maso/pezo laŭ normo x_2\n(kp. linto; carmi, se junri por metaforo, bunda, junta)
tinbe	gismu   \n-tib-      \nx_1 obeas/sekvas ordonon/regulon x_2 faritan de x_3; (adjektivo:) x_1 estas obeema\nVidu ankaŭ {minde}, {lacri}, {javni}, {flalu}, {zekri}.
tinci	gismu      \nx_1 estas kvanto da/enhavas/konsistas el stano (Sn); [metafore: malmultekosta aŭ falsa metalo]\nVidu ankaŭ {gunma}, {lante}, {boxfo}, {cnisa}, {jinme}.
tinsa	gismu      \nx_1 estas rigida/nefleksebla/rezista en direkto x_2 kontraŭ forto x_3 sub kondiĉoj x_4\nAnkaŭ kelkfoje: firma, malmola; ne limigita al fizikaj fortoj; ekz. mensa rigideco.  Vidu ankaŭ {bapli}, {jdari}, {nandu}, {torni}, {trati}, {xarnu}, {danre}, {stodi}.
tirna	gismu   \n-tin-      \nx_1 aŭdas x_2-on kontraŭ fono/bruo x_3; x_2 estas aŭdebla; (adjektivo:) x_1 estas aŭda\nVidu ankaŭ {kerlo}, {sance}, {smaji}, {savru}, {voksa}, {ganse}, {zgana}.
tirse	gismu   \n-tir-      \nx_1 estas kvanto da/enhavas/konsistas el fero (Fe); [metafore: forta, daŭranta, malbriliga]\nVidu ankaŭ {jinme}, {gasta}, {molki}.
tirxu	gismu      \nx_1 estas tigro/leopardo/jaguaro de speco/raso x_2 kun felaj strioj/makuloj x_3\nGranda kato rekonita per la markoj, metafore: strioj, tigraj markoj.  Vidu ankaŭ {mlatu}.
tisna	gismu   \n-tis-      \nx_1 (objekto) pleniĝas/remburiĝas/pufiĝas/ŝveliĝas per materialo x_2; x_2 verŝiĝas en x_1-on\nImplicas ke ioma grado de pleniĝo rezultos; agenta plenigo (= {tisyse'a}, {tisygau}, {tisyzu'e}); pufiĝi/ŝveliĝi/bloviĝi (= {gacytisna}, agenta {gacyse'a}); enverŝi (= {liktisna}, agenta {likse'a}).  (kp.culno, kunti, rinci, setca)
titla	gismu   \n-tit-      \nx_1 estas dolĉa/sukera por observanto x_2\nVidu ankaŭ {sakta}, {slari}, {kurki}.
tivni	gismu   \n-tiv-      \nx_1 brodkastas/elsendas televidan programon x_2 per medio/stacio/kanalo x_3 al televidilo x_4\nAnkaŭ: x_1 estas brodkastanto; x_2 programo (kolektivaĵo), programero/spektaklo (ind.).  Vidu ankaŭ {cradi}, {skina}, {vidni}, {benji}, {tcana}.
tixnu	gismu   \n-tix-   \n-ti'u-      \nx_1 estas filino de patro/patrino/gepatroj x_2; [ne nepre biologiaj]\nVidu ankaŭ {bersa}, {panzi}.
to'e	cmavo   \n-tol-   \n-to'e-      \nskala negilo: kontraŭo, mal-\nVidu ankaŭ {dukti}, {natfe}, cmavo {na'e}, {no'e}.
toknu	gismu   \n-tok-      \nx_1 estas forno [enfermaĵo por varmigi sian enhavon] por baki/varmigi/sekigi x_2-on\nVidu ankaŭ {nanba}.
toldi	gismu   \n-tod-      \nx_1 estas papilio/tineo de speco/raso x_2\nVidu ankaŭ {cinki}.
tolja'e	lujvo      \nneaĵo de x_1 (okazo/stato) rezultas/sekvas x_2 (okazo/stato). x_1 estas malhelpita de x_2.\n{to'e} {jalge}. ``lo nu broda cu tolja'e lo nu brode'' signifas la samon de ``lo nu na broda cu jalge lo nu brode.''
tolki'u	lujvo      \nx_1 (okazo/stato) estas kialo/pravigo/klarigo pri neaĵo de x_2 (okazo/stato). x_1 malhelpas x_2.\n{to'e} {krinu}. ``lo nu broda cu tolki'u lo nu brode'' signifas la samon de ``lo nu broda cu krinu lo nu na brode.''
tolmu'i	lujvo      \nx_1 (okazo/stato) motivas/stimulas neaĵon de x_2 (okazo/stato), laŭ volo de x_3. x_1 malhelpas x_2.\n{to'e} {mukti}. ``lo nu broda cu tolmu'i lo nu brode'' signifas la samon de ``lo nu broda cu mukti lo nu na brode.''
tolni'i	lujvo      \nx_1 (okazo/stato) logike implicas/necesigas neaĵon de x_2 (okazo/stato), laŭ reguloj/logiko x_3. x_1 malhelpas x_2.\n{to'e} {nibli}. ``lo nu broda cu tolni'i lo nu brode'' signifas la samon de ``lo nu broda cu nibli lo nu na brode.''
tolri'a	lujvo      \nx_1 (okazo/stato) kaŭzas neaĵon de x_2 (okazo/stato). x_1 malhelpas x_2.\n{to'e} {rinka}. ``lo nu broda cu tolri'a lo nu brode'' signifas la samon de ``lo nu broda cu rinka lo nu na brode.''
tonga	gismu   \n-tog-   \n-to'a-      \nx_1 estas tono/noto de frekvenco/piĉo x_2 el fonto x_3\nVidu ankaŭ {rilti}, {zgike}, {janbe}, {siclu}.
tordu	gismu   \n-tor-   \n-to'u-      \nx_1 estas mallonga laŭ dimensio/direkto x_2 (defaŭlte plej longa dimensio) laŭ mezurnormo x_3\nVidu ankaŭ {cmalu}, {jarki}, {caxno}, {cinla}, {clani}.
torni	gismu   \n-ton-   \n-to'i-      \nx_1 tordiĝas sub pezo/forto/tordiĝo x_2\nVidu ankaŭ {tinsa}, {trati}.
traji	gismu   \n-rai-      \nx_1 estas superlativa en eco x_2 (ka), la x_3-a ekstremo (defaŭlte ka zmadu) inter aro/amplekso x_4\nAnkaŭ: x_1 estas plej x_3-a en x_2 inter x_4; x_1 estas la x_3-a ekstremo de x_4; x_1 estas ekstrema; x_1 estas simple x_3.  (kp. cmavo rai, jimte, milxe, mutce, rimarku kontrasto kun milxe kaj mutce anstataŭ kun mleca kaj zmadu, kiu estas valoroj por x_3, banli, curve, fanmo, krasi, manfo, prane)
trano	gismu      \nx_1 estas kvanto da/enhavas/konsistas el nitrogeno/amoniako/nitrato\nVidu ankaŭ {vacri}.
trati	gismu      \nx_1 estas streĉita en direkto x_2\nVidu ankaŭ {tinsa}, {torni}, {tagji}, {tcena}, {kluza}.
trene	gismu   \n-ren-   \n-re'e-      \nx_1 estas trajno [veturilo] kun vagonoj/unuoj x_2 por reloj/sistemo/fervojo x_3, pelita de x_4\nRela veturilo aŭ trajno de veturiloj; ankaŭ metroo (tu'unre'e), rulportilo, tramvojo (= {lajre'e}), roller coaster; monorelo (= {dadre'e}); kablo-vagono, ĉiel-vagono, ski-levo (= {cildadre'e}). (kp.tcana)
tricu	gismu   \n-ric-      \nx_1 estas arbo de speco/kultivo x_2\nVidu ankaŭ {cindu}, {ckunu}, {pezli}, {mudri}, {spati}.
trina	gismu   \n-tri-      \nx_1 altiras/allogas x_2-on (homo/okazo) per eco/kvalito x_3 (ka)\nAnkaŭ: x_1 estas alloga por x_2.  Vidu ankaŭ {djica}, {nelci}, {rigni}, {xlura}, {maksi}.
trixe	gismu   \n-rix-   \n-ti'e-      \nx_1 estas malantaŭ x_2 kiu frontas al/en referenckadro x_3\nAnkaŭ: x_3 estas la normo pri orientiĝo por x_2; spino (= {rixybo'u}, {rixybo'ukamju}).  Vidu ankaŭ {crane}, {rebla}, {mlana}, {pritu}, {zunle}.
troci	gismu   \n-toc-   \n-toi-      \nx_1 provas/klopodas/penas fari/atingi x_2-on (okazo/stato/eco) per ago/metodo x_3\nAnkaŭ: eksperimenti.  Vidu ankaŭ {fliba}, {snada}, {cipra}.
tsakura	fu'ivla      \nx_1 estas sakuro de speco/raso x_2.\nVidu ankaŭ {xrula}, {mudri}, {tricu}.
tsali	gismu   \n-tsa-      \nx_1 estas forta/potenca/[rezista/firma] en eco/kvalito x_2 (ka) laŭ normo x_3\nVidu ankaŭ {ralci}, {ruble}, {carmi}, {vlipa}.
tsani	gismu   \n-tan-      \n                                    x_1 estas amplekso de ĉielo ĉe loko x_2; [ĉiela]                                                                                               4h  88     (kp. gapru, kensa, tarci, terdi\n)
tsapi	gismu      \nx_1 estas spico/kondimento kaŭzanta guston/efikon x_2 (okazo/eco)\nAnkaŭ: x_1 gustigas x_2 (tu'a).  Vidu ankaŭ {vrusi}.
tsiju	gismu   \n-tsi-      \nx_1 estas semo(j)/sporo(j) [korpoparto] de organismo x_2 por produkti idojn x_3\nAnkaŭ: ĝerma ĉelo; implicas efektiva potencialo por memevoluo; semoj ĝenerale enhavas embrion kaj nutraĵon, kaj do inkluzivus fekundigitan ovon. Vidu ankaŭ {tarbi}, {dembi}, {grute}, {jbari}, {sombo}, {spati}, {sovda}.
tsina	gismu   \n-sin-      \nx_1 estas estrado/scenejo/platformo/kajo/[eŝafodo] ĉe x_2 subtenanta x_3-on, el materialo x_4\n0     x_3 objekto/okazo.  Vidu ankaŭ {greku}, {jubme}.
tu	cmavo   \n-tuf-      \npro-sumti: tiu/tio/tie for; demonstrativo; indikas ion for de kaj parolanto kaj alparolato
tubnu	gismu   \n-tu'u-      \nx_1 estas tubo/kava cilindro [formo] el materialo x_2, kavo el materialo x_3\nAnkaŭ: maniko, ŝtrumpo.  Vidu ankaŭ {kevna}, {canlu}.
tugni	gismu   \n-tug-   \n-tu'i-      \nx_1 [homo] konsentas kun homo(j)/pozicio/flanko x_2 ke x_3 (du'u) estas vera pri afero x_4\nVidu ankaŭ {sarxe}, {mapti}, {darlu}, {natfe}, {panpi}, {sarji}.
tujli	gismu   \n-tuj-      \nx_1 estas tulipo (difinita per florformo) de speco/raso x_2\nVidu ankaŭ {spati}.
tumla	gismu   \n-tum-   \n-tu'a-      \nx_1 estas tereno/terspaco/amplekso de tera supraĵo en loko x_2; x_1 estas tereno\n(kp. vacri, xamsi; tutra, kiu ne nepre estas tera, gugde, xamsi)
tunba	gismu   \n-tub-      \nx_1 estas gefrato de x_2 laŭ ligilo/normo/gepatro(j) x_3\nVidu ankaŭ {bruna}, {mensi}, {tamne}.
tunka	gismu   \n-tuk-      \nx_1 estas kvanto da/enhavas/konsistas el kupro (Cu); [metafore: ruĝeca, elektra kondukilo]\nVidu ankaŭ {jinme}, {lastu}, {ransu}.
tunlo	gismu   \n-tul-   \n-tu'o-      \nx_1 glutas\n(x_1 englutas Manĝaĝon/trinkaĵon. x_2 (= tulpinxe, tulcti, ctitu'o (la lastaj du estas pli ĝeneralaj - por manĝaĵo aŭ trinkaĵo); engluti/malaperigi en si (= {galxycti}, {galxynerbi'o}, {galxygre}); Vidu ankaŭ {citka}, {pinxe}, {galxe}.
tunta	gismu   \n-tun-      \nx_1 (objekto, ĝenerale pinta) pikas/pikfrapas/pintpuŝas x_2-on (spertanto)\nAgenta (= {tungau}, {tunzu'e}).  Vidu ankaŭ {balre}, {dakfu}, {darxi}, {fanza}, {jicla}, {katna}, {tikpa}.
tuple	gismu   \n-tup-   \n-tu'e-      \nx_1 estas kruro [korpoparto] de x_2; [metafore: subtenanta branĉo]\nVidu ankaŭ {stani}, {zbepi}, {jamfu}, {jimca}, {sanli}.
turni	gismu   \n-tru-      \nx_1 regas super popolo/teritorio/kampo/subuloj x_2\nx_2 ne nepre estas kompleta specifo de la regataro; regni/regi (= {noltru}); reĝo/reĝino/suvereno (= {nolraitru}); pura democratio (= {roltrusi'o}), reprezenta democratio (= {rolka'itrusi'o}), vicreĝo (= {ka'itru}), pura komunismo (=guntrusi'o), direktoraro, direktkomitato (= {trukamni}); registaro (= trugunma, trugri (emfazo de la membroj), truci'e (emfazo de la organizo)).  Vidu ankaŭ {catni}, {minde}, {tutra}, {jecta}, {gugde}, {ponse}, {jitro}.
tutci	gismu   \n-tci-      \nx_1 estas ilo/rimedo/instrumento uzita por fari x_2-on; [formo determinas funkcion]\n(kp. cabra, minji, se pilno, zukte, sazri, basic tool types: salpo, pulni, cfine, klupe, jendu, xislu, vraga; utensils: forca, smuci, dakfu; specifics: balre, mruli, cinza, garna, pijne, pambe, canpa, pilno, vraga)
tutra	gismu   \n-tut-      \nx_1 estas teritorio/kampo/spaco de/apartena al/regita de x_2\nVidu ankaŭ {catni}, {turni}, {jecta}, {gugde}, {ponse}, {steci}, {tumla}.
va	cmavo   \n-vaz-      \nloka distanco: meza distanco; tie
vacri	gismu   \n-var-      \nx_1 estas kvanto da aero/ĝenerale gasa atmosfero de planedo x_2, de konsisto enhavanta x_3-on\n(kp. gapci, kijno, trano, tumla, vaŝu, xamsi)
vajni	gismu   \n-vaj-   \n-vai-      \nx_1 (objekto/okazo) estas grava/signifa por x_2 (homo/okazo) laŭ aspekto/pro kialo x_3 (nu/ka)\nVidu ankaŭ {banli}, {ralju}, {vamji}, {dirba}, {kargu}, {pajni}.
valsi	gismu   \n-val-   \n-vla-      \nx_1 estas vorto signiganta/kaŭzanta x_2-on en lingvo x_3; (adjektivo: x_1 estas leksikona/vorta)\nVidu ankaŭ {slaka}, {bangu}, {cmavo}, {cmene}, {gismu}, {jufra}, {rafsi}, {smuni}.
vamji	gismu   \n-vam-   \n-va'i-      \nx_1 (ni) estas la valoro de x_2 [valoraĵo(j)] por x_3 por uzo/takso x_4\nAnkaŭ: x_2 valoras x_1-on al x_3; (por homa x_2:) x_2 meritas (unu senco), (adjektivo:) x_2 estas inda (= selva'i por reordigitaj {lokoj}); meriti rekompencon (= {nemselva'i}); ricevi meritan rekompencon (= {vamselne'u}); x_2 povas esti specifa objekto, varo, okazo, aŭ eco; pedante, por objektoj/varoj, ĉi tio estas sumti-levado el posedo de la objekto/varo (= {posyva'i}, posyselva'i por neambigua {semantiko}).  (kp. jdima, jerna, vecnu, dirba, janta, kargu, pleji; see note at jdima on cost/price/value distinction, vajni)
vamtu	gismu   \n-vat-      \nx_1 vomas/elĵetas el si x_2-on; [perforta] digesta elĵeto\n(x_2 estas negasa); Vidu ankaŭ {rigni}, {jetce}, {kafke}, {sputu}.
vanbi	gismu   \n-vab-      \nx_1 (ind./mass) estas parto de medio/ĉirkaŭaĵo/konteksto de x_2\nVidu ankaŭ cmavo {va'o}, {sruri}, {jibni}, {jbini}, {ferti}, {tcini}.
vanci	gismu   \n-vac-      \nx_1 estas vespero [de fin-de-laboro ĝis dormo tipa por loko] de tago x_2 en loko x_3\nĉi tiu vespero (= {cabvanci}); morgaŭa vespero (= {bavlamvanci}); hieraŭa vespero (= {prulamvanci}).  Vidu ankaŭ {cerni}, {murse}, {tcika}.
vanju	gismu   \n-van-      \nx_1 estas kvanto da/enhavas/konsistas el vino el frukto/vinberoj x_2\nVidu ankaŭ {barja}, {birje}, {xalka}, {jikru}, {fusra}.
vasru	gismu   \n-vas-   \n-vau-      \nx_1 enhavas/entenas/enfermas enhavon x_2 interne; x_1 estas vazo enhavanta x_2-on\n(ankaŭ: ricevi, ujo; ne nepre kompleta enhavado; x_2 estas Entenita. en x_1 (= selvau por reordigitaj {lokoj})); Vidu ankaŭ {bartu}, {jbini}, {nenri}, {zvati}, {cpana}, {botpi}, {lanka}.
ve	cmavo   \n-vel-      \n4-a revicigo; interŝanĝas 1-an/4-an lokojn
vecnu	gismu   \n-ven-   \n-ve'u-      \nx_1 [vendanto] vendas x_2-on [varo/servo/komercaĵo] al aĉetanto x_3 por kvanto/kosto/elspezo x_4\nx_1 estas vendisto; x_3 aĉetas x_2-on de x_1 (= terve'u por reordigitaj {termoj}); x_4 estas la prezo de x_2 por x_3 (= velve'u por reordigitaj {termoj}); por vendado (= {fitselve'u}, {selvenfriti}); x_2 povas esti specifa objekto, varo, okazo, aŭ eco; pedante, por objektoj/varoj, ĉi tio estas sumti-levado el posedo de la objekto/varo (= {posyve'u}, posyselve'u por neambigua {semantiko}).  (kp. canja, dunda, janta, pleji, jerna, kargu, prali, zarci, vamji, jdima; see note at jdima on cost/price/value distinction, fepni, friti, jerna, rupnu)
ve'e	cmavo   \n-ve'e-      \nloka intervalo: ĉie, la tuta spaco (rafsi reprezentas ian ajn spacan intervalon)\n at   0
venfu	gismu   \n-vef-      \nx_1 venĝas/reprezalas kontraŭ x_2 (homo) pro malbono x_3 (nu) per venĝo x_4 (nu)\nVidu ankaŭ {sfasa}, {cnemu}.
vensa	gismu   \n-ves-      \nx_1 estas printempo [varmiĝanta sezono] de jaro x_2 en loko x_3; (adjektivo:) x_1 estas printempa\nVidu ankaŭ {citsi}, {crisa}, {critu}, {dunra}.
verba	gismu   \n-ver-   \n-ve'a-      \nx_1 estas infano/junulo [juna homo] de aĝo x_2, nematura laŭ normo x_3\nNe nepre homa.  Vidu ankaŭ {cifnu}, {makcu}, {citno}, {panzi}, {nanla}, {nixli}, se {rirni}, {bersa}.
vi	cmavo   \n-viz-      \nloka distanco: mallonga distanco; ĉi tie\nVidu ankaŭ {stuzi}, {zvati}, {jibni}.
vibna	gismu   \n-vib-      \nx_1 estas (la) vagino [korpoparto] de x_2\nVidu ankaŭ {cinse}, {gletu}, {pinji}, {plibu}, {vlagi}, {mabla}.
vidni	gismu      \nx_1 estas ekrano/videomonitoro/katodradia tubo [maŝino] plenumanta funkcion x_2\nVidu ankaŭ {skina}, ve {tivni}.
vidru	gismu   \n-vir-      \nx_1 estas viruso de speco/raso/difina eco x_2 kapabla infekti x_3-on\nVidu ankaŭ {jurme}.
vifne	gismu   \n-vif-      \n(adjektivo:) x_1 estas freŝa/bonstata\nVidu ankaŭ {fusra}.
vikmi	gismu   \n-vim-   \n-vi'i-      \nx_1 [korpo] ekskrecias forĵetaĵon x_2 el fonto x_3 per rimedo/tra vojo x_4\nVidu ankaŭ {cigla}, {kalci}, {pinca}, {xasne}.
viknu	gismu   \n-vik-      \nx_1 estas viskoza sub kondiĉoj x_2\nVidu ankaŭ {denmi}, {snipa}.
vimcu	gismu   \n-vic-   \n-vi'u-      \nx_1 deprenas/forigas/subtrahas x_2-on el x_3 kun rezulto/restaĵo x_4\nAnkaŭ: alproprigi, konfiski; forproprigo estas esenca.  Vidu ankaŭ {lebna}, {muvdu}, {cpacu}, {canci}, {cliva}, {jdika}.
vindu	gismu   \n-vid-      \nx_1 estas venena/toksa por x_2\nVidu ankaŭ {since}.
vinji	gismu   \n-vij-      \nx_1 estas avio/aviadilo [flugveturilo] por porti pasaĝerojn/kargon x_2, pelita de x_3\nVidu ankaŭ {vofli}, {sabnu}.
vipsi	gismu   \n-vip-      \nx_1 estas vic-/subulo laŭ aspekto [aŭ organizaĵa principo] x_2 (ka) de ĉef-/superulo x_3\nVidu ankaŭ {krati}, {sidju}.
virnu	gismu   \n-vri-      \nx_1 estas brava/sentima/kuraĝa en ago x_2 (okazo) laŭ normo x_3\nVidu ankaŭ {terpa}, {darsi}.
